vendor_cid,mill,mill_region,po_type,buyer_name,salesman,origin_city,origin_st,origin_zip,dest_name,dest_address1,dest_address2,dest_city,dest_st,dest_zip,dest_location_type,item_description,species,dimension,grade,length_ft,convbf,purchase_uom,call_ready_date,ship_date,delivered_date,days_ready_to_ship,delivered_cost_per_mbf,sale_price_per_mbf,rl_price_per_mbf,delivered_total_usd,sale_total_usd,gross_margin_per_mbf,index_relative_margin_per_mbf,match_flag,rl_date,days_to_rl_quote,assumption_equal_length
14306,"Weyerhaeuser NR Company (Magnolia, MS)",central,Plant PO,"Oney, Donnie",,Magnolia,MS,39652.0,,777 Clow Road,,Birmingham,AL,35217.0,TLR,2X4-8 #3 SYP KD-HT,Southern Yellow Pine,2x4,,8,5.33333,MBF,2024-11-04 00:00:00,2025-01-07 00:00:00,2025-01-08,64.0,319.999972956731,,,1.7066654557693222,,,,,,,
14306,"Weyerhaeuser NR Company (Magnolia, MS)",central,Plant PO,"Oney, Donnie",,Magnolia,MS,39652.0,,777 Clow Road,,Birmingham,AL,35217.0,TLR,2X4-16 #4 SYP HT,Southern Yellow Pine,2x4,,16,10.66667,MBF,2024-11-04 00:00:00,2025-01-07 00:00:00,2025-01-08,64.0,350.006760944279,,,3.733406616761512,,,,,,,
8801,"Westervelt Lumber Division (Moundville, AL)",central,Direct PO,"Hendler, Joe","Spann, Colby",Moundville,AL,35474.0,"Markleville Lumber Co, Inc",136 W Main St,,Markleville,IN,46056.0,Customer,4X4-2 #4 SYP HT,Southern Yellow Pine,4x4,,,2.66667,MBF,2024-12-03 00:00:00,2025-01-02 00:00:00,2025-01-02,30.0,225.084480659361,375.0,,0.6002260320398981,1.00000125,149.915519340639,,,,,
373376,"D B Hostetler Sawmill (Warm Springs, AR)",nan,Direct PO,"Mays, Grady","Spann, Colby",Warm Springs,AR,72478.0,"Nucor Steel, a Div of Nucor Corp",8812 Hwy 79 W,,Jewett,TX,75846.0,Customer,3X4-8 HWD BLK,HWD Blocking,3x4,,8,8.0,MBF,2024-12-03 00:00:00,2024-12-16 00:00:00,2025-01-03,13.0,387.91682449495,5.45,,3.1033345959596,0.0436,-382.46682449495,,,,,
373376,"D B Hostetler Sawmill (Warm Springs, AR)",nan,Direct PO,"Mays, Grady","Spann, Colby",Warm Springs,AR,72478.0,"Nucor Steel, a Div of Nucor Corp",8812 Hwy 79 W,,Jewett,TX,75846.0,Customer,3X4-8 HWD BLK,HWD Blocking,3x4,,8,8.0,MBF,2024-12-03 00:00:00,2025-01-03 00:00:00,2025-01-03,31.0,387.91682449495,5.45,,3.1033345959596,0.0436,-382.46682449495,,,,,
8801,"Westervelt Lumber Division (Moundville, AL)",central,Direct PO,"Hendler, Joe","Spann, Colby",Moundville,AL,35474.0,"Free State Lumber Company, Inc",41542 Hwy 195,,Haleyville,AL,35565.0,Customer,2X4-12 #2 SYP KD-HT,Southern Yellow Pine,2x4,,12,8.0,MBF,2024-12-05 00:00:00,2024-12-30 00:00:00,2025-01-02,25.0,300.0,363.0,,2.4,2.904,63.0,,,,,
372983,"K&R Sawmill (Viola, AR)",nan,Direct PO,"Mays, Grady","Denief, Geoff",Viola,AR,72583.0,"Zekelman Industries, Inc DBA Wheatland Tube",1600 Richie Court,,Rochelle,IL,61068.0,Customer,4X6-4 RG SYP BLOCK,Southern Yellow Pine,4x6,,,8.0,MBF,2024-12-06 00:00:00,2025-01-07 00:00:00,2025-01-07,32.0,330.15873015873,3.3,,2.6412698412698403,0.0264,-326.85873015873,,,,,
372983,"K&R Sawmill (Viola, AR)",nan,Direct PO,"Mays, Grady","Denief, Geoff",Viola,AR,72583.0,"Zekelman Industries, Inc DBA Wheatland Tube",200 1 Cain Pkwy,,Rochelle,IL,61068.0,Customer,3X4-4 RG SYP BLK,Southern Yellow Pine,3x4,,,4.0,MBF,2024-12-09 00:00:00,2025-01-07 00:00:00,2025-01-07,29.0,321.118859994173,1.65,,1.2844754399766922,0.0066,-319.46885999417304,,,,,
1071,"Southeastern Timber Products, LLC (Ackerman, MS)",central,Direct PO,"Oney, Donnie","Morrow, Everett",Ackerman,MS,39735.0,"Spot-On Services Dallas, LLC",410 Hillburn Dr,,Dallas,TX,75217.0,Customer,4X4-12 #2 SYP KD-HT,Southern Yellow Pine,4x4,,12,16.0,MBF,2024-12-10 00:00:00,2025-01-02 00:00:00,2025-01-02,23.0,353.29304029304,7.75,,5.652688644688641,0.124,-345.54304029304,,,,,
375477,"Mission Forest Products, LP (Corinth, MS)",central,Plant PO,"Conner, Cody",,Corinth,MS,38834.0,,777 Clow Road,,Birmingham,AL,35217.0,TLR,2X8-8 #4 SYP HT,Southern Yellow Pine,2x8,,8,10.66667,MBF,2024-12-10 00:00:00,2025-01-03 00:00:00,2025-01-06,24.0,230.0,,,2.4533340999999997,,,,,,,
