vendor_cid,mill,mill_region,volume_bf,delivered_cost_per_mbf_avg,rl_price_per_mbf_avg,index_relative_margin_per_mbf_avg
15684,"Hankins Lumber Company, Inc (Grenada, MS)",central,6.66667,65.0,,
14877,"Jordan Lumber & Supply, Inc (Mt. Gilead, NC)",east,2.0,93.3333333333333,,
373183,"Doman Lumber (Plumerville, AR)",west,3.0,115.0,,
14368,"McShan Lumber Company, Inc. (Mc Shan, AL)",nan,3.0,120.81068840579701,,
14316,"Weyerhaeuser NR Company (Plymouth, NC)",east,29.33326,132.53306524281714,,
14361,"Shuqualak Lumber Co., Inc. (Shuqualak, MS)",central,148.00002,155.7566228601805,,
962,"CLW, Inc. (Splendora, TX)",west,34.666669999999996,160.145239006744,,
15096,"Corrigan OSB LLC (Corrigan, TX)",west,32.0,160.791666666667,,
948,"Boise Cascade, LLC (Florien, LA)",west,712.0,166.74497944608623,,
964,"Boise Cascade, LLC (Chapman, AL)",central,56.0,167.48120300751884,,
965,"Boise Cascade, LLC (Havana, FL)",east,40.666669999999996,167.81836543711842,,
946,"Boise Cascade, LLC (Oakdale, LA)",west,112.0,168.75,,
945,"Boise Cascade, LLC (Dallas, TX)",west,48.0,170.567186129386,,
1080,"Southern Lumber Company, Inc. (Hermanville, MS)",central,846.00001,171.57849320337112,,
1019,"Carthage Forest Products, LLC (Carthage, AR)",west,65.0,174.9912597094746,,
14334,"West Fraser Mills Ltd (Augusta, GA)",east,1.33333,175.007523932174,,
378460,"Boise Cascade, LLC (Thorsby, AL)",central,168.0,175.52955146705148,,
378307,"National Salvage & Service Corporation (Hondo, TX)",nan,44.625,179.271708683473,,
378913,"National Salvage & Service Corporation (Vanderbilt, TX)",nan,44.625,179.271708683473,,
15562,"National Salvage & Service Corporation (Deridder, LA)",nan,44.625,179.273758346291,,
377981,"Brazos Forest Products, LP (Houston, TX)",nan,3.0,183.75,,
952,"Cal-Tex Lumber Co. (Nacogdoches, TX)",west,110.66667,185.29198987473742,,
377454,"West Fraser Mills Ltd (Fairfax, SC)",east,96.0,190.0,,
14346,"West Fraser Mills Ltd (Dudley, GA)",east,1.33333,190.005859551068,,
1061,"Norbord Industries Inc. (Kinards, SC)",east,128.0,194.99999860491076,,
7737,"West Fraser Timber Co, Ltd - 57 (Lanett, AL)",central,288.0,204.66664843020533,,
1011,"Hood Industries, Inc (Waynesboro, MS)",central,2574.0,223.20747828791826,,
378240,"Callaway Lumber Co Inc (Bryan, TX)",west,8.0,224.739583333333,,
372322,"Canfor Southern Pine (El Dorado, AR)",west,278.0,230.61902666713874,,
378383,"Doman Lumber - Winnfield (Winnfield, LA)",west,8.0,231.25,,
14308,"Weyerhaeuser NR Company (Dodson, LA)",west,5859.33353,231.78148309189757,,
