region,dimension,grade,length_ft,rl_date,rl_price_per_mbf
Central,2x10,1,14.0,2025-05-30,450.0
Central,2x10,1,16.0,2025-03-21,415.0
Central,2x10,1,16.0,2025-04-11,450.0
Central,2x10,2,8.0,2025-02-21,280.0
Central,2x10,2,8.0,2025-02-28,280.0
Central,2x10,2,8.0,2025-04-25,385.0
Central,2x10,2,12.0,2025-05-16,410.0
Central,2x10,2,16.0,2025-04-11,375.0
Central,2x12,2,8.0,2025-02-14,275.0
Central,2x12,2,14.0,2025-01-31,340.0
Central,2x12,2,16.0,2025-03-14,430.0
Central,2x4,1,8.0,2025-03-07,470.0
Central,2x4,1,10.0,2025-03-14,440.0
Central,2x4,1,10.0,2025-04-04,460.0
Central,2x4,1,10.0,2025-07-11,375.0
Central,2x4,1,10.0,2025-08-01,375.0
Central,2x4,1,12.0,2025-02-07,410.0
Central,2x4,1,12.0,2025-03-14,445.0
Central,2x4,1,12.0,2025-03-28,455.0
Central,2x4,1,12.0,2025-04-04,465.0
Central,2x4,1,12.0,2025-05-02,505.0
Central,2x4,1,12.0,2025-07-11,375.0
Central,2x4,1,14.0,2025-02-07,435.0
Central,2x4,1,14.0,2025-03-14,475.0
Central,2x4,1,14.0,2025-05-02,550.0
Central,2x4,1,14.0,2025-06-13,420.0
Central,2x4,1,14.0,2025-07-11,395.0
Central,2x4,1,14.0,2025-08-15,395.0
Central,2x4,1,16.0,2025-03-14,475.0
Central,2x4,1,16.0,2025-08-15,440.0
Central,2x4,1,18.0,2025-03-14,430.0
Central,2x4,1,18.0,2025-05-02,515.0
Central,2x4,1,18.0,2025-05-16,495.0
Central,2x4,1,18.0,2025-05-30,455.0
Central,2x4,1,20.0,2025-03-21,425.0
Central,2x4,1,20.0,2025-05-09,510.0
Central,2x4,1,20.0,2025-05-16,490.0
Central,2x4,1,20.0,2025-07-03,395.0
Central,2x4,2,8.0,2025-05-02,510.0
Central,2x4,2,8.0,2025-05-16,495.0
Central,2x4,2,8.0,2025-08-15,350.0
Central,2x4,2,10.0,2025-01-10,340.0
