mill,vendor_cid,mill_region,dest_location_type,dest_city,dest_st,dimension,grade,length_ft,volume_bf,delivered_cost_per_mbf_avg,rl_price_per_mbf_avg,index_relative_margin_per_mbf_avg
"Alabama Pallets (Birmingham, AL)",373025,nan,Customer,Trafford,AL,96x72,,,3.0,81666.66666666667,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x10,,8.0,39.99999,241.67609162545367,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x10,,16.0,106.66668,224.987989219592,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x10,,,6.66667,250.0,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x10,,6.0,20.0,217.5,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x10,,10.0,50.00001,241.64792363454566,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x10,,12.0,80.0,225.0,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x10,,14.0,46.66666,224.9979948378015,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x12,,8.0,112.0,244.28571428571428,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x12,,16.0,96.0,258.3333333333333,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x12,,,8.0,205.000018643466,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x12,,6.0,48.0,236.25000253182876,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x12,,10.0,140.0,240.71428571428572,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x12,,12.0,144.0,262.49999348958335,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bryan,TX,2x12,,14.0,196.0,237.14285873724484,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bullard,TX,2x12,,16.0,32.0,184.999988839286,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Bullard,TX,2x12,,12.0,24.0,185.000009114583,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Flintville,TN,2x12,,6.0,12.0,200.000009014423,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Flintville,TN,2x12,,12.0,24.0,245.0,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Flintville,TN,2x12,,14.0,28.0,245.0,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Gordo,AL,6x6,,8.0,24.0,300.0,,
"Anthony Timberlands, Inc (Bearden, AR)",938,west,Customer,Gordo,AL,6x6,,16.0,48.0,299.999986979167,,
