mill,profitable_index_relative,total_index_relative_margin,avg_index_relative_margin,median_index_relative_margin,n_rows,n_ok_matches,top_selling_product,top_selling_volume_or_count,best_product_by_index_margin,best_product_total_index_margin,worst_product_by_index_margin,worst_product_total_index_margin
"Bienville Lumber Company, LLC (Taylor, LA)",True,2264.250459627245,10.018807343483386,10.0,226,226,2x4 | #2 | 12ft,62,2x4 | #2 | 10ft,1142.705684910479,2x6 | #1 | 14ft,-195.70931780134003
"Georgia-Pacfic Corp (Talladega, AL)",True,527.6566294844299,16.489269671388435,17.49998996310751,32,32,2x6 | #2 | 8ft,10,2x4 | #2 | 8ft,245.989132067912,2x6 | #2 | 14ft,-100.610969387755
"Pinecrest Lbr / Green Bay Packaging (Plumerville, AR)",True,498.160583805568,49.816058380556804,70.67628494138899,41,10,4x6 | #2 | 10ft,8,2x4 | #2 | 16ft,231.49199909849006,2x4 | #2 | 10ft,-48.535856473134004
"Westervelt Lumber Division (Moundville, AL)",True,210.84876173288598,21.0848761732886,22.65386246977451,16,10,2x4 | #2 | 10ft,5,2x4 | #2 | 12ft,135.0,4x6 | #1 | 8ft,0.0
"Hood Industries, Inc. (Bogalusa, LA)",True,194.947128679261,5.268841315655703,0.0,37,37,2x4 | #2 | 12ft,7,2x8 | #2 | 16ft,104.98956807386699,2x8 | #2 | 10ft,-60.26699807643104
"Southeast Forest Products Mfg, Inc (Louisville, AL)",True,174.92058644885384,21.86507330610673,19.993570684491488,12,8,2x8 | #2 | 10ft,4,2x8 | #2 | 10ft,79.9485654759319,4x4 | #2 | 12ft,0.0
"Callaway Lumber Co Inc (Bryan, TX)",True,145.260416666667,145.260416666667,145.260416666667,1,1,2x6 | #2 | 8ft,1,2x6 | #2 | 8ft,145.260416666667,2x6 | #2 | 8ft,145.260416666667
"LaSalle Lumber Company, LLC (Olla, LA)",True,105.9348326172323,1.0284935205556534,14.995757858567003,103,103,2x4 | #2 | 12ft,35,2x4 | #2 | 10ft,591.3829873633501,2x4 | #1 | 20ft,-255.42995381335493
"Mid South Lumber, Inc (Meridian, MS)",True,89.89154482026106,12.841649260037295,10.0,7,7,2x6 | #2 | 16ft,4,2x6 | #2 | 16ft,89.99996715198802,2x4 | #2 | 16ft,-35.042614218397944
"Gloster Forest Products (Gloster, MS)",True,88.89528303657818,3.8650123059381816,9.893136215161007,25,23,2x4 | #2 | 10ft,6,2x6 | #2 | 8ft,91.08694590693,2x4 | #1 | 20ft,-108.595105021184
"Rex Lumber Troy, LLC (Troy, AL)",True,79.89200218180298,15.978400436360596,34.99998741319399,10,5,4x4 | #2 | 10ft,5,2x6 | #2 | 12ft,69.99997482638798,2x4 | #2 | 16ft,-50.107955826009004
"Trimjoist Corporation (Columbus, MS)",True,64.980844350962,64.980844350962,64.980844350962,1,1,2x4 | #1 | 12ft,1,2x4 | #1 | 12ft,64.980844350962,2x4 | #1 | 12ft,64.980844350962
"Weyerhaeuser NR Company (Philadelphia, MS)",True,56.0995889719531,8.0142269959933,-7.853708791208987,7,7,2x4 | #1 | 18ft,2,2x4 | #1 | 18ft,90.88313167735004,2x8 | #2 | 12ft,-35.659722222221944
"Southeastern Timber Products, LLC (Ackerman, MS)",True,54.321667349576046,9.053611224929341,9.898018919951028,33,6,4x4 | #2 | 12ft,7,2x4 | #2 | 12ft,44.999957074175995,2x4 | #2 | 16ft,-10.063798401967006
"Harrigan Lumber Company, Inc. (Monroeville, AL)",True,49.982142059912974,49.982142059912974,49.982142059912974,22,1,4x6 | #2 | 16ft,10,2x10 | #1 | 14ft,49.982142059912974,4x6 | #2 | 10ft,0.0
"Georgia-Pacific Corp. (Dudley, NC)",True,33.695652173913004,16.847826086956502,16.847826086956502,2,2,2x6 | #2 | 8ft,2,2x6 | #2 | 8ft,33.695652173913004,2x6 | #2 | 8ft,33.695652173913004
"Rex Lumber-Brookhaven (Brookhaven, MS)",True,31.367010794774956,15.683505397387478,15.683505397387478,2,2,2x8 | #1 | 8ft,1,2x8 | #1 | 8ft,19.565217391303975,2x8 | #1 | 16ft,11.801793403470981
"Weyerhaeuser NR Company (Bruce, MS)",True,25.943701521546927,2.882633502394103,13.943300130706973,9,9,2x4 | #2 | 12ft,4,2x4 | #2 | 12ft,75.38289835164801,2x6 | #2 | 20ft,-91.269097222222
"Hood Industries, Inc. (Silver Creek, MS)",True,20.83664225420398,1.1575912363446657,1.5,21,18,2x8 | #2 | 12ft,6,2x6 | #2 | 10ft,30.0,2x8 | #2 | 10ft,-10.05653737552899
"Hood Industries, Inc (Waynesboro, MS)",True,10.0,10.0,10.0,1,1,2x12 | #2 | 8ft,1,2x12 | #2 | 8ft,10.0,2x12 | #2 | 8ft,10.0
"Austell Forest Products Inc (Gordo, AL)",False,0.0,,,21,0,1x4 | #2 | 8ft,11,1x4 | #2 | 10ft,0.0,1x4 | #2 | 10ft,0.0
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",False,0.0,0.0,0.0,1,1,2x8 | #2 | 12ft,1,2x8 | #2 | 12ft,0.0,2x8 | #2 | 12ft,0.0
"Cal-Tex Lumber Co. (Pollok, TX)",False,0.0,,,10,0,4x4 | #2 | 8ft,8,4x4 | #2 | 12ft,0.0,4x4 | #2 | 12ft,0.0
"Charles Ingram (Effingham, SC)",False,0.0,,,9,0,4x6 | #1 | 16ft,2,1x4 | #2 | 10ft,0.0,1x4 | #2 | 10ft,0.0
"Doman Lumber (Gilmer, TX)",False,0.0,,,2,0,4x4 | #2 | 10ft,2,4x4 | #2 | 10ft,0.0,4x4 | #2 | 10ft,0.0
"Doman Lumber (Hattiesburg, MS)",False,0.0,,,2,0,6x6 | #2 | 8ft,1,6x6 | #2 | 10ft,0.0,6x6 | #2 | 10ft,0.0
"Doman Lumber (Magnolia, AR)",False,0.0,,,1,0,1x6 | #2 | 14ft,1,1x6 | #2 | 14ft,0.0,1x6 | #2 | 14ft,0.0
"Doman Lumber (Rison, AR)",False,0.0,,,2,0,1x6 | #2 | 12ft,1,1x6 | #2 | 12ft,0.0,1x6 | #2 | 12ft,0.0
"Doman Lumber (Russellville, AR)",False,0.0,,,5,0,1x6 | #2 | 14ft,5,1x6 | #2 | 14ft,0.0,1x6 | #2 | 14ft,0.0
"Dupont Pine Products, LLC (Alapaha, GA)",False,0.0,,,33,0,4x6 | #2 | 16ft,18,4x6 | #1 | 8ft,0.0,4x6 | #1 | 8ft,0.0
"Georgia-Pacific Corp. (Mexia, AL)",False,0.0,,,54,0,4x6 | #2 | 10ft,20,4x4 | #2 | 10ft,0.0,4x4 | #2 | 10ft,0.0
"Griffin Lumber Company, Inc. (Cordele, GA)",False,0.0,,,4,0,4x6 | #2 | 10ft,2,4x6 | #2 | 10ft,0.0,4x6 | #2 | 10ft,0.0
"Hankins Lumber Company, Inc (Grenada, MS)",False,0.0,,,2,0,4x6 | #2 | 10ft,2,4x6 | #2 | 10ft,0.0,4x6 | #2 | 10ft,0.0
"Homan Forest Products Corporate, Inc (Fulton, MS)",False,0.0,,,105,0,4x6 | #2 | 20ft,34,4x6 | #2 | 10ft,0.0,4x6 | #2 | 10ft,0.0
"Jack Batte and Sons, Inc. (Forest, MS)",False,0.0,,,27,0,4x6 | #2 | 16ft,9,4x6 | #2 | 10ft,0.0,4x6 | #2 | 10ft,0.0
"Jasper Lumber Co, Inc (Jasper, AL)",False,0.0,,,3,0,4x4 | #1 | 12ft,2,4x4 | #1 | 12ft,0.0,4x4 | #1 | 12ft,0.0
"KyKenKee, Inc (Vance, AL)",False,0.0,,,1,0,4x4 | #2 | 8ft,1,4x4 | #2 | 8ft,0.0,4x4 | #2 | 8ft,0.0
"Langdale Forest Products Co (Barnesville, GA)",False,0.0,,,2,0,2x4 | #2 | 6ft,1,2x4 | #2 | 6ft,0.0,2x4 | #2 | 6ft,0.0
"Lincoln Lumber Co, Inc (Brookhaven, MS)",False,0.0,,,3,0,8x8 | #2 | 16ft,2,4x6 | #2 | 10ft,0.0,4x6 | #2 | 10ft,0.0
"Martco Limited Partnership - Plywood Div (Chopin, LA)",False,0.0,,,3,0,6x6 | #2 | 8ft,3,6x6 | #2 | 8ft,0.0,6x6 | #2 | 8ft,0.0
"Meadwestvaco Corporation (Cottonton, AL)",False,0.0,,,7,0,4x6 | #2 | 14ft,5,4x6 | #1 | 14ft,0.0,4x6 | #1 | 14ft,0.0
"Pollard Lumber Co, Inc (Appling, GA)",False,0.0,,,1,0,4x6 | #2 | 10ft,1,4x6 | #2 | 10ft,0.0,4x6 | #2 | 10ft,0.0
"RB Lumber Co, LLC dba DS Smith Riceboro Lumber (Riceboro, GA)",False,0.0,,,34,0,4x6 | #2 | 16ft,34,4x6 | #2 | 16ft,0.0,4x6 | #2 | 16ft,0.0
"Snider Industries, LLP (Marshall, TX)",False,0.0,,,3,0,1x4 | #2 | 14ft,3,1x4 | #2 | 14ft,0.0,1x4 | #2 | 14ft,0.0
"West Fraser Mills Ltd. (Russellville, AR)",False,0.0,,,18,0,4x6 | #2 | 16ft,5,4x4 | #2 | 12ft,0.0,4x4 | #2 | 12ft,0.0
"West Fraser Mills Ltd. (Opelika, AL)",False,-0.014106515039998158,-0.007053257519999079,-0.007053257519999079,2,2,2x8 | #2 | 10ft,1,2x8 | #2 | 12ft,0.0,2x8 | #2 | 10ft,-0.014106515039998158
