mill,product,total_index_relative_margin,avg_index_relative_margin,n
"Austell Forest Products Inc (Gordo, AL)",1x4 | #2 | 10ft,0.0,,10
"Austell Forest Products Inc (Gordo, AL)",1x4 | #2 | 8ft,0.0,,11
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",2x8 | #2 | 12ft,0.0,0.0,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 14ft,-195.70931780134003,-97.85465890067002,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 20ft,-136.98238674829895,-68.49119337414947,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 20ft,-102.52779980468802,-102.52779980468802,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 18ft,-102.527777777778,-102.527777777778,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 16ft,-93.18154296875002,-93.18154296875002,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 16ft,-90.69134069529622,-6.976256976561247,13
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 12ft,-82.527777777778,-82.527777777778,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #2 | 20ft,-77.546797574013,-19.38669939350325,4
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 12ft,-64.74149439102598,-21.580498130341994,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 8ft,-50.15050147683701,-25.075250738418504,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 18ft,-44.63810004340303,-44.63810004340303,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 10ft,-30.503642244806997,-15.251821122403499,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 14ft,-26.060710023547983,-5.212142004709596,5
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 20ft,-23.046875,-23.046875,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 10ft,-20.027470551390024,-10.013735275695012,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 8ft,-5.5291221292119985,-5.5291221292119985,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 14ft,-5.0,-5.0,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #2 | 14ft,0.0,0.0,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 16ft,1.6529236478989446,0.5509745492996482,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #2 | 18ft,5.0,2.5,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #2 | 8ft,14.992329327538016,14.992329327538016,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 18ft,24.999615384615026,24.999615384615026,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #2 | 18ft,35.0,35.0,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 12ft,48.55459602864704,4.046216335720587,12
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 14ft,59.91929598626302,11.983859197252604,5
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 20ft,116.17598017746604,14.521997522183256,8
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 16ft,137.46119794000901,45.82039931333634,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #1 | 12ft,170.0,85.0,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 18ft,171.75026779689904,9.54168154427217,18
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #1 | 16ft,229.96504199030403,76.655013996768,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 8ft,254.9997509178409,25.49997509178409,10
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #1 | 8ft,360.00004521908795,90.00001130477199,4
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 12ft,642.4663873083623,10.362361085618748,62
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 10ft,1142.705684910479,24.8414279328365,46
"Binderholz Timber, LLC (Lake Charles, LA)",2x4 | #2 | 16ft,-430.7188917233559,-215.35944586167795,2
"Boise Building Solutions/Distribution (Tulsa, OK)",2x4 | #2 | 10ft,-96.09632034632,-96.09632034632,1
"Cal-Tex Lumber Co. (Nacogdoches, TX)",2x4 | #2 | 16ft,-60.00020487605002,-60.00020487605002,1
"Cal-Tex Lumber Co. (Pollok, TX)",4x4 | #2 | 12ft,0.0,,2
"Cal-Tex Lumber Co. (Pollok, TX)",4x4 | #2 | 8ft,0.0,,8
"Callaway Lumber Co Inc (Bryan, TX)",2x6 | #2 | 8ft,145.260416666667,145.260416666667,1
"Canfor Southern Pine (Bucks, AL)",2x4 | #2 | 12ft,-78.38152472527503,-78.38152472527503,1
"Canfor Southern Pine (Camden, SC)",2x6 | #2 | 8ft,-5.0,-5.0,1
"Canfor Southern Pine (Deridder, LA)",2x4 | #1 | 20ft,-96.29717796000597,-48.148588980002984,2
"Canfor Southern Pine (Deridder, LA)",2x4 | #1 | 18ft,-68.44243589743598,-68.44243589743598,1
"Canfor Southern Pine (Deridder, LA)",2x4 | #1 | 12ft,-26.252575549451024,-26.252575549451024,1
"Canfor Southern Pine (Deridder, LA)",2x8 | #2 | 8ft,-5.0,-5.0,1
"Canfor Southern Pine (Deridder, LA)",2x4 | #2 | 20ft,29.960245199676024,14.980122599838012,2
"Canfor Southern Pine (El Dorado, AR)",2x6 | #1 | 10ft,-88.51973684210498,-88.51973684210498,1
"Canfor Southern Pine (El Dorado, AR)",2x4 | #2 | 14ft,-10.014166130070976,-10.014166130070976,1
"Canfor Southern Pine (El Dorado, AR)",2x10 | #1 | 18ft,0.0,0.0,1
"Canfor Southern Pine (El Dorado, AR)",2x4 | #2 | 10ft,15.0,15.0,1
"Canfor Southern Pine (Estill, SC)",2x8 | #2 | 12ft,-56.440962177579024,-28.220481088789512,2
"Canfor Southern Pine (Estill, SC)",2x6 | #2 | 8ft,-40.4211956521749,-8.08423913043498,5
"Canfor Southern Pine (Estill, SC)",2x8 | #2 | 8ft,-28.177083333332973,-28.177083333332973,1
"Canfor Southern Pine (Graham, NC)",2x6 | #2 | 8ft,-15.0,-15.0,1
"Canfor Southern Pine (Moultrie, GA)",2x8 | #2 | 8ft,-36.44886363636397,-18.224431818181984,2
"Canfor Southern Pine (Strong, AR)",2x10 | #2 | 14ft,-117.44676101611702,-117.44676101611702,1
"Canfor Southern Pine (Strong, AR)",2x10 | #1 | 14ft,-109.72498772266601,-109.72498772266601,1
"Canfor Southern Pine (Strong, AR)",2x10 | #2 | 8ft,-37.783383186749006,-37.783383186749006,1
"Canfor Southern Pine (Strong, AR)",2x8 | #2 | 10ft,-15.0,-15.0,1
"Canfor Southern Pine (Strong, AR)",2x8 | #2 | 12ft,-10.0,-5.0,2
"Canfor Southern Pine (Strong, AR)",2x10 | #1 | 18ft,2.0,2.0,1
"Canfor Southern Pine (Strong, AR)",2x8 | #2 | 8ft,5.0,5.0,1
"Canfor Southern Pine (Strong, AR)",2x12 | #2 | 20ft,258.7890625,51.7578125,5
"Charles Ingram (Effingham, SC)",1x4 | #2 | 10ft,0.0,,1
"Charles Ingram (Effingham, SC)",1x4 | #2 | 12ft,0.0,,1
"Charles Ingram (Effingham, SC)",1x4 | #2 | 14ft,0.0,,1
"Charles Ingram (Effingham, SC)",4x6 | #1 | 16ft,0.0,,2
"Charles Ingram (Effingham, SC)",4x6 | #2 | 12ft,0.0,,2
"Charles Ingram (Effingham, SC)",4x6 | #2 | 8ft,0.0,,2
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #2 | 10ft,-10.025392608797972,-10.025392608797972,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #2 | 10ft,-10.0,-10.0,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #2 | 12ft,-10.0,-10.0,1
"Coushatta Forest Products, LLC (Coushatta, LA)",4x4 | #2 | 8ft,0.0,,1
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #2 | 14ft,0.0,,1
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #2 | 8ft,0.0,,1
"Doman Lumber (Caddo Mills, TX)",2x4 | #1 | 10ft,-1120.090732054807,-373.3635773516023,3
"Doman Lumber (Caddo Mills, TX)",2x12 | #2 | 10ft,-420.0,-210.0,2
"Doman Lumber (Caddo Mills, TX)",2x4 | #1 | 16ft,-405.064870407933,-405.064870407933,1
"Doman Lumber (Caddo Mills, TX)",2x4 | #1 | 8ft,-355.240396753832,-355.240396753832,1
"Doman Lumber (Caddo Mills, TX)",2x4 | #1 | 12ft,-354.99859775641005,-354.99859775641005,1
"Doman Lumber (Caddo Mills, TX)",2x4 | #2 | 12ft,-195.0,-195.0,1
"Doman Lumber (Caddo Mills, TX)",2x8 | #2 | 12ft,-190.0,-190.0,1
"Doman Lumber (Caddo Mills, TX)",1x4 | #2 | 8ft,0.0,,2
"Doman Lumber (Gilmer, TX)",4x4 | #2 | 10ft,0.0,,2
"Doman Lumber (Hattiesburg, MS)",6x6 | #2 | 10ft,0.0,,1
"Doman Lumber (Hattiesburg, MS)",6x6 | #2 | 8ft,0.0,,1
"Doman Lumber (Magnolia, AR)",1x6 | #2 | 14ft,0.0,,1
"Doman Lumber (Rison, AR)",1x6 | #2 | 12ft,0.0,,1
"Doman Lumber (Rison, AR)",1x6 | #2 | 14ft,0.0,,1
"Doman Lumber (Russellville, AR)",1x6 | #2 | 14ft,0.0,,5
"Dupont Pine Products, LLC (Alapaha, GA)",4x6 | #1 | 8ft,0.0,,15
"Dupont Pine Products, LLC (Alapaha, GA)",4x6 | #2 | 16ft,0.0,,18
"Eastex Forest Products (Houston, TX)",2x8 | #2 | 10ft,-335.24228214146103,-335.24228214146103,1
"Eastex Forest Products (Houston, TX)",2x6 | #2 | 16ft,-165.0,-165.0,1
"Eastex Forest Products (Houston, TX)",2x4 | #2 | 12ft,-65.0,-65.0,1
"Eastex Forest Products (Houston, TX)",1x4 | #2 | 12ft,0.0,,1
"Eastex Forest Products (Houston, TX)",4x4 | #2 | 10ft,0.0,,5
"Eastex Forest Products (Houston, TX)",4x4 | #2 | 12ft,0.0,,1
"Eastex Forest Products (Houston, TX)",4x4 | #2 | 16ft,0.0,,1
"Eastex Forest Products (Houston, TX)",4x4 | #2 | 8ft,0.0,,1
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 14ft,-100.610969387755,-25.15274234693875,4
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 20ft,-36.94445703125001,-9.236114257812503,4
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 12ft,-5.0000082736549984,-1.2500020684137496,4
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 16ft,80.00001416015601,20.000003540039003,4
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 8ft,150.18298739346594,15.018298739346594,10
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 10ft,194.039930555556,38.8079861111112,5
"Georgia-Pacfic Corp (Talladega, AL)",2x4 | #2 | 8ft,245.989132067912,245.989132067912,1
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 14ft,-339.236452460776,-56.539408743462666,6
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 20ft,-190.95018036014994,-47.737545090037486,4
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 12ft,-190.23340594951907,-63.41113531650635,3
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 10ft,-189.29893830128196,-94.64946915064098,2
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #2 | 14ft,-165.01926218075,-55.006420726916666,3
