mill,profitable_index_relative,total_index_relative_margin,avg_index_relative_margin,median_index_relative_margin,n_rows,n_ok_matches,top_selling_product,top_selling_volume_or_count,best_product_by_index_margin,best_product_total_index_margin,worst_product_by_index_margin,worst_product_total_index_margin
"Hood Industries, Inc. (Bogalusa, LA)",True,5126.737389124501,12.206517593153572,9.959042845812505,573,420,2x4 | #3 | 8ft,76,2x4 | #4 | 12ft,1345.792382376087,2x8 | #4 | 14ft,-325.000059058779
"LaSalle Lumber Company, LLC (Olla, LA)",True,4842.696984343544,16.360462784944403,15.0,466,296,2x4 | #3 | 8ft,103,2x4 | #4 | 10ft,1197.2792124634761,2x8 | #4 | 10ft,-206.61401180118003
"Bienville Lumber Company, LLC (Taylor, LA)",True,4096.268382107209,13.171280971405816,10.451096086867011,474,311,2x4 | #3 | 8ft,78,2x6 | #3 | 8ft,1045.080644106656,2x10 | #4 | 14ft,-375.75811011375004
"Mission Forest Products, LP (Corinth, MS)",True,2631.690688973431,29.241007655260344,40.064592911289,130,90,2x4 | #4 | 8ft,31,2x4 | #4 | 8ft,1037.485002487646,2x4 | #4 | 14ft,-59.79597435206102
"Georgia-Pacific Corp. (Gurdon, AR)",True,2529.588828054066,6.949419857291391,-2.0,507,364,4x4 | #4 | 8ft,95,2x4 | #4 | 16ft,1003.443426168629,2x6 | #4 | 16ft,-496.94386146129284
"Southern Lumber Company, Inc. (Hermanville, MS)",True,2047.9566892392438,52.51170998049343,55.000014648437,52,39,2x12 | #4 | <NA>ft,11,2x12 | #4 | 12ft,315.0,2x6 | #4 | 12ft,-28.426896701389012
"Weyerhaeuser NR Company (Magnolia, MS)",True,1797.2599806618714,3.2796714975581596,-0.024165572784994538,621,548,2x8 | #3 | 16ft,46,2x6 | #3 | 8ft,637.8033940138059,2x8 | #4 | 10ft,-607.543856993481
"Hood Industries, Inc. (Silver Creek, MS)",True,1475.256933802143,7.931488891409371,5.0,231,186,2x4 | #4 | 10ft,19,2x4 | #4 | 16ft,224.80915739085694,2x4 | #3 | 10ft,0.0
"Hood Industries, Inc (Waynesboro, MS)",True,1303.1276170222263,8.864813721239635,5.0,228,147,2x12 | #4 | <NA>ft,21,2x8 | #3 | 8ft,230.0,2x12 | #3 | 14ft,-103.33333333333297
"Weyerhaeuser NR Company (Holden, LA)",True,1248.598794047738,12.241164647526844,7.269207129687004,194,102,2x4 | #3 | 12ft,57,2x4 | #4 | 12ft,650.186985268004,2x4 | #3 | 10ft,0.0
"Mid South Lumber, Inc (Meridian, MS)",True,1144.8685769993822,18.17251709522829,19.986150379021012,82,63,2x4 | #4 | 8ft,17,2x4 | #4 | 8ft,419.6892802884621,2x4 | #3 | 8ft,0.0
