Row Labels,Average of cost_per_mile,Average of avg_days,,,,,,,,,,,,,,
HALF WAY,1.912811388,1,,,,,,,,,,,,,,
MARIANNA,2.162162162,1,,,,,,,,,,,,,,
MILLERS TAVERN,2.203515152,2.696969697,,,,,,,,,,,,,,
GRABILL,2.236024845,-1,,,,,,,,,,,,,,
ELDON,2.296419056,2.285714286,,,,,,,,,,,,,,
APPLING,2.442528736,0,,,,,,,,,,,,,,
KNOXVILLE,2.457953738,2.5,,,,,,,,,,,,,,
AUSTIN,2.460456942,3,,,,,,,,,,,,,,
ROUND ROCK,2.531969309,6,,,,,,,,,,,,,,
HONDO,2.542319749,1,,,,,,,,,,,,,,
CORPUS CHRISTI,2.619047619,4,,,,,,,,,,,,,,
TOLEDO,2.631578947,9,,,,,,,,,,,,,,
WINONA,2.641203704,1.333333333,,,,,,,,,,,,,,
GARLAND,2.642276423,1,,,,,,,,,,,,,,
ALAPAHA,2.656496921,3,,,,,,,,,,,,,,
MC SHAN,2.692514809,3.333333333,,,,,,,,,,,,,,
TAHLEQUAH,2.757916005,3.666666667,,,,,,,,,,,,,,
PROSPERITY,2.772177419,2,,,,,,,,,,,,,,
MANSFIELD,2.775156027,2.833333333,,,,,,,,,,,,,,
EXETER,2.797651139,2.375,,,,,,,,,,,,,,
WYANDOTTE,2.8,4,,,,,,,,,,,,,,
LEOLA,2.80265997,2,,,,,,,,,,,,,,
HAVANA,2.803712742,4.833333333,,,,,,,,,,,,,,
SALEM,2.806133475,3.965517241,,,,,,,,,,,,,Blue = cost efficiency  (how expensive each lane is per mile on average),
NEW BLOOMFIELD,2.837730151,7.5,,,,,,,,,,,,,"orange = time efficiency (how long, on average, shipments from that lane take)",
HALFWAY,2.842874513,4.071428571,,,,,,,,,,,,,,
SUMMERSVILLE,2.846508822,3.352941176,,,,,,,,,,,,,,
EUFAULA,2.847571189,13,,,,,,,,,,,,,,If both bars are high → that lane is slow and expensive 😬
NEW ORLEANS,2.942301161,4.9,,,,,,,,,,,,,,
CENTERVILLE,2.986343367,9.333333333,,,,,,,,,,,,,,If both bars are low → that lane is fast and cost-efficient 🚀
CORDELE,2.996645817,3.083333333,,,,,,,,,,,,,,
FORDYCE,2.998467228,4.2,,,,,,,,,,,,,,If blue is high but orange is low → expensive but fast
BOGALUSA,3.039596021,2.476190476,,,,,,,,,,,,,,
EVINGTON,3.043801039,1.666666667,,,,,,,,,,,,,,If blue is low but orange is high → cheap but slow
BROOKHAVEN,3.052883505,7.2,,,,,,,,,,,,,,
RISON,3.073305597,7.5,,,,,,,,,,,,,,
HOLDEN,3.100448535,2.895833333,,,,,,,,,,,,,,
VERONA,3.119335234,2.484848485,,,,,,,,,,,,,,
RICEBORO,3.154410596,2.516129032,,,,,,,,,,,,,,
MC DAVID,3.156498674,1,,,,,,,,,,,,,,
SEVEN SPRINGS,3.174706086,1,,,,,,,,,,,,,,
OLIVE BRANCH,3.196347032,1,,,,,,,,,,,,,,
ABBEVILLE,3.219059192,3.862068966,,,,,,,,,,,,,,
CHAPMAN,3.240537719,1.75,,,,,,,,,,,,,,
WARREN,3.247388436,4.508196721,,,,,,,,,,,,,,
MARSHALL,3.258774667,2.444444444,,,,,,,,,,,,,,
MEXIA,3.272218531,3.769230769,,,,,,,,,,,,,,
BEARDEN,3.275967589,5.333333333,,,,,,,,,,,,,,
MONTICELLO,3.280149095,3.555555556,,,,,,,,,,,,,,
STEELVILLE,3.281004123,2,,,,,,,,,,,,,,
OLA,3.283204669,4.75,,,,,,,,,,,,,,
CARRSVILLE,3.294444819,2.545454545,,,,,,,,,,,,,,
POLLOCK,3.322604397,4.2,,,,,,,,,,,,,,
COLFAX,3.327402135,7.5,,,,,,,,,,,,,,
CHOPIN,3.329682684,3.568421053,,,,,,,,,,,,,,
MALVERN,3.331438723,5.333333333,,,,,,,,,,,,,,
PLUMERVILLE,3.331891425,2.8,,,,,,,,,,,,,,
SPAVINAW,3.340881236,3.571428571,,,,,,,,,,,,,,
POCAHONTAS,3.355521269,2.217391304,,,,,,,,,,,,,,
EFFINGHAM,3.357110156,4.090909091,,,,,,,,,,,,,,
RUSSELLVILLE,3.383662878,3.727272727,,,,,,,,,,,,,,
WARM SPRINGS,3.400197558,3.928571429,,,,,,,,,,,,,,
TROY,3.405249502,4.5,,,,,,,,,,,,,,
DECATUR,3.430930303,2.2,,,,,,,,,,,,,,
HAZLEHURST,3.431264733,2.375,,,,,,,,,,,,,,
SILVER CREEK,3.435200275,3,,,,,,,,,,,,,,
OLLA,3.439566563,5.847750865,,,,,,,,,,,,,,
GRENADA,3.446731581,7.25,,,,,,,,,,,,,,
CORRIGAN,3.453589996,4,,,,,,,,,,,,,,
MAGNOLIA,3.462479452,4.980952381,,,,,,,,,,,,,,
GOSHEN,3.47525593,2.666666667,,,,,,,,,,,,,,
FAIRFIELD,3.484963868,3.571428571,,,,,,,,,,,,,,
TAYLORSVILLE,3.493100885,2.692307692,,,,,,,,,,,,,,
MONROEVILLE,3.508120695,7.727272727,,,,,,,,,,,,,,
VICKSBURG,3.514292706,4.102189781,,,,,,,,,,,,,,
HATFIELD,3.519626207,5.25,,,,,,,,,,,,,,
VIOLA,3.53330372,3.1,,,,,,,,,,,,,,
PINE BLUFF,3.542673108,1,,,,,,,,,,,,,,
WIGGINS,3.543788187,5,,,,,,,,,,,,,,
SPLENDORA,3.552123552,4.333333333,,,,,,,,,,,,,,
BAY SPRINGS,3.565014997,3.0625,,,,,,,,,,,,,,
COTTONTON,3.570446754,3.25,,,,,,,,,,,,,,
HERMANVILLE,3.629851343,4.25,,,,,,,,,,,,,,
NEW BOSTON,3.635938188,3.428571429,,,,,,,,,,,,,,
WAYNESBORO,3.66777865,2.172413793,,,,,,,,,,,,,,
COUSHATTA,3.673614139,3.416666667,,,,,,,,,,,,,,
ATLANTA,3.675333821,2.705882353,,,,,,,,,,,,,,
MOYIE SPRINGS,3.675925926,4,,,,,,,,,,,,,,
FOREST,3.710720069,4.529411765,,,,,,,,,,,,,,
BREWTON,3.715170279,4,,,,,,,,,,,,,,
LOUISVILLE,3.720873173,3.5,,,,,,,,,,,,,,
WOOD DALE,3.731343284,1,,,,,,,,,,,,,,
MADISON,3.742138365,1,,,,,,,,,,,,,,
TAYLOR,3.75794337,4.080604534,,,,,,,,,,,,,,
EL DORADO,3.758303636,4.461538462,,,,,,,,,,,,,,
GURDON,3.768171737,2.669117647,,,,,,,,,,,,,,
LUBBOCK,3.773364486,2,,,,,,,,,,,,,,
THOMASVILLE,3.786111203,5.115384615,,,,,,,,,,,,,,
SCHILLER PARK,3.787816309,2,,,,,,,,,,,,,,
DEMOPOLIS,3.80952381,3,,,,,,,,,,,,,,
PHILADELPHIA,3.838807142,5.816037736,,,,,,,,,,,,,,
ACKERMAN,3.840241343,4.36440678,,,,,,,,,,,,,,
IDABEL,3.847351704,4.72,,,,,,,,,,,,,,
SUMMERTOWN,3.85700897,5.333333333,,,,,,,,,,,,,,
MERIDIAN,3.864121178,2.919354839,,,,,,,,,,,,,,
WARRENTON,3.882079207,4.3,,,,,,,,,,,,,,
CADDO MILLS,3.883333333,4.666666667,,,,,,,,,,,,,,
STRONG,3.886650034,2.75,,,,,,,,,,,,,,
DIERKS,3.893532334,4.85,,,,,,,,,,,,,,
WINNFIELD,3.911764706,1,,,,,,,,,,,,,,
JOYCE,3.912167721,4.076923077,,,,,,,,,,,,,,
FLORIEN,3.91987592,2.768292683,,,,,,,,,,,,,,
OAKDALE,3.939612991,2.222222222,,,,,,,,,,,,,,
DODSON,3.977891991,6.556521739,,,,,,,,,,,,,,
NAVASOTA,3.989599511,3.4,,,,,,,,,,,,,,
LEWISVILLE,4.002004152,6.3,,,,,,,,,,,,,,
BELK,4.077151708,3.857142857,,,,,,,,,,,,,,
WILKESBORO,4.098784248,3,,,,,,,,,,,,,,
OWENSBORO,4.12371134,3,,,,,,,,,,,,,,
DERIDDER,4.126422145,4.75,,,,,,,,,,,,,,
BRUCE,4.189457222,5.392045455,,,,,,,,,,,,,,
POLLOK,4.211688412,2.777777778,,,,,,,,,,,,,,
CARTHAGE,4.238945935,8.666666667,,,,,,,,,,,,,,
THORSBY,4.279010748,3.25,,,,,,,,,,,,,,
MILLPORT,4.284230738,4.508108108,,,,,,,,,,,,,,
WALDO,4.298173745,4.166666667,,,,,,,,,,,,,,
WADLEY,4.367088608,2,,,,,,,,,,,,,,
NACOGDOCHES,4.37301684,2.921052632,,,,,,,,,,,,,,
TUSCUMBIA,4.38765465,3.431818182,,,,,,,,,,,,,,
LEESVILLE,4.415584416,5,,,,,,,,,,,,,,
PARK FALLS,4.47761194,3,,,,,,,,,,,,,,
MOUNDVILLE,4.47896903,4.203252033,,,,,,,,,,,,,,
COLUMBUS,4.496641412,3.6,,,,,,,,,,,,,,
ZWOLLE,4.513394948,3.4,,,,,,,,,,,,,,
ABERDEEN,4.52615133,1,,,,,,,,,,,,,,
LUMBERTON,4.580518018,5,,,,,,,,,,,,,,
BARNESVILLE,4.592680759,1.333333333,,,,,,,,,,,,,,
EMDEN,4.651162791,2,,,,,,,,,,,,,,
PIEDMONT,4.666666667,1,,,,,,,,,,,,,,
DUDLEY,4.68262498,6.666666667,,,,,,,,,,,,,,
ENNIS,4.693611316,4.086956522,,,,,,,,,,,,,,
PRESTON,4.694166995,2.111111111,,,,,,,,,,,,,,
NEWBERRY,4.700460829,9.5,,,,,,,,,,,,,,
PINELAND,4.713530058,2.80334728,,,,,,,,,,,,,,
HECTOR,4.722581019,3,,,,,,,,,,,,,,
DIBOLL,4.75237265,3.019047619,,,,,,,,,,,,,,
MIDDLEFIELD,4.760036996,2.5,,,,,,,,,,,,,,
VANCE,4.778821132,2.666666667,,,,,,,,,,,,,,
DES PLAINES,4.79704797,0,,,,,,,,,,,,,,
BAXLEY,4.804874728,2.25,,,,,,,,,,,,,,
HOUSTON,4.809466681,3,,,,,,,,,,,,,,
ALBERTVILLE,4.812364922,4.5,,,,,,,,,,,,,,
CAMDEN,4.818004555,3.542857143,,,,,,,,,,,,,,
GRAYSON,4.871794872,1,,,,,,,,,,,,,,
WOODVILLE,4.874844786,1,,,,,,,,,,,,,,
SWAINSBORO,4.9898629,1.6,,,,,,,,,,,,,,
DEQUINCY,4.999691749,2,,,,,,,,,,,,,,
FAIRFAX,5.091223299,6,,,,,,,,,,,,,,
CARROLLTON,5.133220376,6.3,,,,,,,,,,,,,,
LANETT,5.148006084,4.375,,,,,,,,,,,,,,
ATOKA,5.154002396,1.846153846,,,,,,,,,,,,,,
GLENWOOD,5.215743711,6,,,,,,,,,,,,,,
JASPER,5.255349164,2.333333333,,,,,,,,,,,,,,
CORINTH,5.272592209,4.820987654,,,,,,,,,,,,,,
KINARDS,5.281999253,1.25,,,,,,,,,,,,,,
ALBANY,5.325785983,2.333333333,,,,,,,,,,,,,,
AUGUSTA,5.597014925,6,,,,,,,,,,,,,,
MAPLESVILLE,5.628565737,5,,,,,,,,,,,,,,
ROME,5.63467755,3.05,,,,,,,,,,,,,,
PERRY,5.678776226,1.571428571,,,,,,,,,,,,,,
TALLADEGA,5.801696679,2.75,,,,,,,,,,,,,,
HATTIESBURG,5.815714286,0,,,,,,,,,,,,,,
OPELIKA,5.874807099,5.5,,,,,,,,,,,,,,
RIPLEY,6.101190476,3.5,,,,,,,,,,,,,,
BOAZ,6.34,3.6,,,,,,,,,,,,,,
EATONTON,6.358381503,6,,,,,,,,,,,,,,
VANDERBILT,6.589147287,5,,,,,,,,,,,,,,
FORT PAYNE,6.594104308,2.5,,,,,,,,,,,,,,
THOMASTON,6.666666667,1,,,,,,,,,,,,,,
LIVINGSTON,6.750906277,2.857142857,,,,,,,,,,,,,,
NORTHPORT,6.975797101,1,,,,,,,,,,,,,,
RIDGEWAY,7.184615385,0,,,,,,,,,,,,,,
HEARNE,7.232854864,18,,,,,,,,,,,,,,
ARLINGTON,7.351851852,10,,,,,,,,,,,,,,
MT. GILEAD,7.421875,3,,,,,,,,,,,,,,
ELORA,7.486891842,5,,,,,,,,,,,,,,
COLLINS,7.727272727,4,,,,,,,,,,,,,,
SAGINAW,8.163265306,2,,,,,,,,,,,,,,
GRAHAM,8.360655738,2,,,,,,,,,,,,,,
MONTGOMERY,9.026548673,1,,,,,,,,,,,,,,
MCCALLA,9.444444444,0,,,,,,,,,,,,,,
BRONX,11.27819549,0,,,,,,,,,,,,,,
HUNTSVILLE,11.76470588,1,,,,,,,,,,,,,,
MOSCOW,13.51351351,3,,,,,,,,,,,,,,
DALLAS,15.77497846,2.666666667,,,,,,,,,,,,,,
GORDO,16.0481442,4.321428571,,,,,,,,,,,,,,
AMARILLO,21.42857143,35,,,,,,,,,,,,,,
FORT WORTH,28.31542028,1.714285714,,,,,,,,,,,,,,
NORTH BIRMINGHA,41.66666667,1,,,,,,,,,,,,,,
GLOSTER,#DIV/0!,3.232673267,,,,,,,,,,,,,,
BUCKS,#DIV/0!,4.3,,,,,,,,,,,,,,
FULTON,#DIV/0!,4.5,,,,,,,,,,,,,,
HENDERSON,#DIV/0!,5,,,,,,,,,,,,,,
BIRMINGHAM,#DIV/0!,3.215686275,,,,,,,,,,,,,,
GILMER,#DIV/0!,3,,,,,,,,,,,,,,
BUTTZVILLE,#DIV/0!,0,,,,,,,,,,,,,,
BRYAN,#DIV/0!,3.515378845,,,,,,,,,,,,,,
(blank),#DIV/0!,-0.000738153,,,,,,,,,,,,,,
Grand Total,#DIV/0!,0.029283551,,,,,,,,,,,,,,
