Lane,Loads,AvgDaysToShip,AvgCostPerMile,MilesAvg
"BRYAN, TX → BRYAN, TX",66,2.8636363636363638,193.75360873169387,7.595744680851064
"FORT WORTH, TX → FORT WORTH, TX",1,1.0,175.0,2.0
"BIRMINGHAM, AL → NORTH BIRMINGHAM, AL",15,5.266666666666667,59.68888888888889,6.0
"TALLADEGA, AL → LINCOLN, AL",1,1.0,54.61538461538461,13.0
"BIRMINGHAM, AL → BIRMINGHAM, AL",76,3.013157894736842,44.60083824324709,7.0
"NORTH BIRMINGHA, AL → BIRMINGHAM, AL",1,1.0,41.666666666666664,6.0
"GORDO, AL → RANBURNE, AL",14,7.428571428571429,28.15325725841398,33.642857142857146
"HOUSTON, TX → HOUSTON, TX",1,5.0,25.0,16.0
"DALLAS, TX → DALLAS, TX",3,3.6666666666666665,25.0,13.0
"BRYAN, TX → CALDWELL, TX",2,1.0,22.22222222222222,18.0
"DALLAS, TX → RICHARDSON, TX",5,5.6,21.875,16.0
"DALLAS, TX → CARROLLTON, TX",9,2.4444444444444446,21.666666666666668,20.0
"DALLAS, TX → HUTCHINS, TX",1,4.0,21.428571428571427,14.0
"AMARILLO, TX → AMARILLO, TX",1,35.0,21.428571428571427,14.0
"DALLAS, TX → GRAND PRAIRIE, TX",2,2.0,19.11764705882353,17.0
"BIRMINGHAM, AL → LEEDS, AL",8,1.625,18.51511904761905,21.0
"BIRMINGHAM, AL → BESSEMER, AL",1,1.0,18.181818181818183,22.0
"DALLAS, TX → EULESS, TX",2,2.5,16.346153846153847,26.0
"DALLAS, TX → TERRELL, TX",1,5.0,16.0,25.0
"DALLAS, TX → ARLINGTON, TX",32,2.46875,15.66875,25.0
"BIRMINGHAM, AL → TRAFFORD, AL",7,1.4285714285714286,15.428571428571429,22.142857142857142
"DALLAS, TX → MIDLOTHIAN, TX",1,4.0,15.172413793103448,29.0
"BRYAN, TX → HEARNE, TX",11,4.545454545454546,14.983164983164981,27.0
"CORINTH, MS → SELMER, TN",5,2.0,14.961538461538462,26.0
