Mill,Loads,AvgDaysToShip,AvgCostPerMile
"Bluelinx Corporation (Fort Worth, TX)",6,1.8333333333333333,32.10733869210663
"Austell Forest Products Inc (Gordo, AL)",27,4.518518518518518,16.48895171076522
"Alabama Pallets (Birmingham, AL)",3,1.6666666666666667,14.666666666666666
"Steely Lumber (Huntsville, TX)",1,1.0,11.764705882352942
"Louisiana - Pacific Corp. (Carthage, TX)",1,5.0,9.895833333333334
,2409,3.029472810294728,9.846149010515546
"Canfor Southern Pine (Graham, NC)",1,2.0,8.360655737704919
"Rutland Lumber Company, Inc. (Collins, MS)",1,4.0,7.7272727272727275
"Davie Ashley Sawmill, LLC (Elora, TN)",2,5.0,7.486891842458237
"Jordan Lumber & Supply, Inc (Mt. Gilead, NC)",1,3.0,7.421875
"Hopkins Lumber Contractors, Inc (Ridgeway, VA)",1,0.0,7.184615384615385
"Stella-Jones Corp (Livingston, TX)",7,2.857142857142857,6.75090627712717
"Interfor US, Inc (Thomaston, GA)",1,1.0,6.666666666666667
"Valley Timber Inc (Fort Payne, AL)",18,2.5,6.594104308390022
"National Salvage & Service Corporation (Vanderbilt, TX)",1,5.0,6.589147286821706
"Interfor US, Inc (Eatonton, GA)",1,6.0,6.358381502890174
"WoodPerfect (Boaz, AL)",5,3.6,6.340000000000001
"Hankins, Inc. (Memphis, TN)",2,3.5,6.101190476190476
"Homan Forest Products Corporate, Inc (Fulton, MS)",98,4.785714285714286,6.060917711484553
"Carthage Hardwoods, LLC (Carthage, TX)",1,4.0,5.915754716981133
"West Fraser Mills Ltd. (Opelika, AL)",6,5.5,5.874807098765433
"Doman Lumber (Hattiesburg, MS)",2,0.0,5.815714285714286
"Georgia-Pacfic Corp (Talladega, AL)",56,2.75,5.8016966791992255
"Interfor US, Inc (Perry, GA)",7,1.5714285714285714,5.6787762258882495
"Georgia-Pacific Corp. (Rome, GA)",20,3.05,5.634677550456528
"West Fraser Mills Ltd. (Maplesville, AL)",5,5.0,5.628565736598249
"West Fraser Mills Ltd (Augusta, GA)",1,6.0,5.597014925373134
"Randy Miller Lumber Co, Inc (Wilkesboro, NC)",1,2.0,5.597014925373134
"Idaho Timber (Fort Worth, TX)",1,1.0,5.56390977443609
"Joseph Swartzentruber (Salem, AR)",2,7.0,5.563063063063063
"Georgia-Pacific Corp (Albany, GA)",3,2.3333333333333335,5.325785982540572
"Norbord Industries Inc. (Kinards, SC)",4,1.25,5.281999253028258
"Mission Forest Products, LP (Corinth, MS)",162,4.820987654320987,5.2725922094715445
"Jasper Lumber Co, Inc (Jasper, AL)",6,2.3333333333333335,5.255349164431063
"Resolute FP US, Inc (Glenwood, AR)",3,6.0,5.215743711349793
"Norbord Industries Inc. (Cordele, GA)",1,1.0,5.188679245283019
"B & B Log & Lumber Co, Inc. (Atoka, OK)",13,1.8461538461538463,5.154002395514699
"West Fraser Timber Co, Ltd - 57 (Lanett, AL)",8,4.375,5.148006083678324
"Magnolia Forest Products (Carrollton, GA)",10,6.3,5.133220375514897
"West Fraser Mills Ltd (Fairfax, SC)",3,6.0,5.091223298770469
"Interfor US, Inc (Dequincy, LA)",6,2.0,4.999691748501831
"Interfor US, Inc (Swainsboro, GA)",10,1.6,4.989862899875363
"Fred Netterville Lumber Co (Woodville, MS)",3,1.0,4.8748447863351405
"Grayson Lumber Corporation (Grayson, AL)",1,1.0,4.871794871794871
"Georgia-Pacific Corp. (Camden, TX)",33,3.272727272727273,4.871518632144335
"Georgia-Pacific Corp. (Dudley, NC)",2,5.5,4.817415730337078
"Interfor US, Inc (Baxley, GA)",3,1.6666666666666667,4.813362381989833
"WoodPerfect (Albertville, AL)",6,4.5,4.8123649219662274
"Lone Star Packaging Solutions (Ennis, TX)",19,4.2105263157894735,4.801322057435537
"Georgia-Pacific Corp. (Diboll, TX)",96,2.9895833333333335,4.789170769495516
"Cal-Tex Lumber Co. (Nacogdoches, TX)",7,3.857142857142857,4.780908306391397
"KyKenKee, Inc (Vance, AL)",9,2.6666666666666665,4.778821132336493
"MK Hardwoods, LLC (Middlefield, OH)",2,2.5,4.76003699643738
"Mountain Timber, Inc (Hector, AR)",6,3.0,4.722581018518518
"Georgia-Pacific Corp. (Pineland, TX)",236,2.7796610169491527,4.70767260608432
"West Fraser Mills Ltd. (Newberry, SC)",4,9.5,4.700460829493087
"Interfor US, Inc (Preston, GA)",8,2.25,4.669049757672675
"Wesley Hostetler (Emden, MO)",1,2.0,4.651162790697675
"Langdale Forest Products Co (Barnesville, GA)",3,1.3333333333333333,4.592680759174895
"Hardy Technologies, LLC (Lumberton, MS)",2,5.0,4.580518018018018
"G & S Lumber (Nacogdoches, TX)",18,2.8333333333333335,4.5486936084727425
"Weyerhaeuser NR Company (Zwolle, LA)",5,3.4,4.513394948332698
"Trimjoist Corporation (Columbus, MS)",5,3.6,4.496641411655475
"Westervelt Lumber Division (Moundville, AL)",123,4.203252032520325,4.478969029914279
"Park Falls Hardwood (Park Falls, WI)",1,3.0,4.477611940298507
"Rogers Lumber Company (Camden, AR)",1,14.0,4.421768707482993
"Leesville Lumber (Leesville, LA)",1,5.0,4.415584415584416
"West Fraser Mills Ltd (Dudley, GA)",1,9.0,4.413043478260869
"McVantage Packaging, LLC (Tuscumbia, AL)",88,3.4318181818181817,4.387654649682545
"Battle Lumber Company, Inc (Wadley, GA)",6,2.0,4.367088607594936
"Boise Cascade, LLC (Thorsby, AL)",19,3.3684210526315788,4.3333929126058734
"Potlatch Land & Lumber, LLC (Waldo, AR)",12,4.166666666666667,4.298173744904599
"Weyerhaeuser NR Company (Millport, AL)",183,4.508196721311475,4.270934313114949
"Weyerhaeuser NR Company (Bruce, MS)",174,5.408045977011494,4.1992930145174086
"Cal-Tex Lumber Co. (Pollok, TX)",19,2.736842105263158,4.192449750656013
"Canfor Southern Pine (Deridder, LA)",11,4.181818181818182,4.191448607497387
"Interfor US, Inc (Belk, AL)",14,3.857142857142857,4.077151708010631
"Magnolia Forest Products (Lewisville, AR)",10,6.3,4.002004152479624
"Lufkin Distrib & Supply, Inc DBA Neches Lumber Co (Nacogdoches, TX)",7,2.7142857142857144,3.9943775659553213
"Chickasaw Lumber Company, LLC (Navasota, TX)",5,3.4,3.9895995110426767
"Weyerhaeuser NR Company (Dodson, LA)",115,6.556521739130435,3.9778919914331534
"Boise Cascade, LLC (Oakdale, LA)",9,2.2222222222222223,3.939612991216392
"Boise Cascade, LLC (Florien, LA)",78,2.8333333333333335,3.9254309402374736
"Wood Tie (Idabel, OK)",2,1.5,3.9170506912442398
