region,mill,item_description,dimension,length_ft,grade,date,delivered_cost_per_mbf
Central,"Westervelt Lumber Division (Moundville, AL)",2X4-12 #2 SYP KD-HT,2x4,12,2,2024-12-05 00:00:00,300.0
Central,"Southeastern Timber Products, LLC (Ackerman, MS)",4X4-12 #2 SYP KD-HT,4x4,12,2,2024-12-10 00:00:00,353.29304029304
West,"Bienville Lumber Company, LLC (Taylor, LA)",2X6-14 #1 SYP KD-HT,2x6,14,1,2024-12-11 00:00:00,433.181535993304
West,"Bienville Lumber Company, LLC (Taylor, LA)",2X6-16 #1 SYP KD-HT,2x6,16,1,2024-12-11 00:00:00,458.18154296875
East,"Interfor US, Inc (Georgetown, SC)",2X6-8 #2 SYP KD-HT,2x6,8,2,2024-12-13 00:00:00,369.12841796875
West,"Bienville Lumber Company, LLC (Taylor, LA)",2X4-12 #2 Prime SYP KD-HT,2x4,12,2,2024-12-16 06:00:00,300.357153588599
Central,"Rex Lumber-Brookhaven (Brookhaven, MS)",2X8-8 #1 SYP KD-HT,2x8,8,1,2024-12-18 00:00:00,320.434782608696
West,"Weyerhaeuser NR Company (Holden, LA)",2X4-12 #2 SYP KD-HT,2x4,12,2,2024-12-18 00:00:00,363.424622252747
Central,"Southeastern Timber Products, LLC (Ackerman, MS)",4X4-12 #1 SYP KD-HT,4x4,12,1,2024-12-19 00:00:00,361.000019688645
Central,"Westervelt Lumber Division (Moundville, AL)",4X6-16 #2 SYP,4x6,16,2,2024-12-19 00:00:00,475.0
Central,"Jack Batte and Sons, Inc. (Forest, MS)",4X6-16 #2 SYP,4x6,16,2,2024-12-19 00:00:00,448.392857142857
Central,"Jack Batte and Sons, Inc. (Forest, MS)",4X6-16 #2 SYP,4x6,16,2,2024-12-19 00:00:00,448.392857142857
Central,"Homan Forest Products Corporate, Inc (Fulton, MS)",4X6-16 #2 SYP,4x6,16,2,2024-12-19 00:00:00,443.076948617789
Central,"Homan Forest Products Corporate, Inc (Fulton, MS)",4X6-16 #2 SYP,4x6,16,2,2024-12-19 00:00:00,479.999974459135
Central,"Homan Forest Products Corporate, Inc (Fulton, MS)",4X6-16 #2 SYP,4x6,16,2,2024-12-19 00:00:00,443.076948617789
West,"Bienville Lumber Company, LLC (Taylor, LA)",2X4-12 #2 SYP KD-HT,2x4,12,2,2024-12-19 00:00:00,290.000012848143
West,"Canfor Southern Pine (El Dorado, AR)",2X10-18 #1 SYP KD-HT,2x10,18,1,2024-12-20 00:00:00,290.0
West,"LaSalle Lumber Company, LLC (Olla, LA)",2X4-10 #2 SYP KD-HT,2x4,10,2,2024-12-23 00:00:00,330.004666355576
West,"LaSalle Lumber Company, LLC (Olla, LA)",2X4-10 #2 SYP KD-HT,2x4,10,2,2024-12-23 00:00:00,330.004666355576
West,"Bienville Lumber Company, LLC (Taylor, LA)",2X6-20 #2 Prime SYP KD-HT S4S,2x6,20,2,2024-12-23 00:00:00,325.0
West,"Bienville Lumber Company, LLC (Taylor, LA)",2X6-18 #2 Prime SYP KD-HT S4S,2x6,18,2,2024-12-23 00:00:00,310.0
West,"Bienville Lumber Company, LLC (Taylor, LA)",2X6-20 #2 Prime SYP KD-HT S4S,2x6,20,2,2024-12-23 00:00:00,369.861842105263
Central,"Southeastern Timber Products, LLC (Ackerman, MS)",2X4-16 #2 SYP KD-HT,2x4,16,2,2024-12-26 00:00:00,390.063798401967
