region,mill,item_description,date,delivered_cost_per_mbf,dimension,length_ft,grade
Central,"Weyerhaeuser NR Company (Magnolia, MS)",2X4-8 #3 SYP KD-HT,2024-11-04 00:00:00,319.999972956731,2x4,8,3
Central,"Weyerhaeuser NR Company (Magnolia, MS)",2X4-16 #4 SYP HT,2024-11-04 00:00:00,350.006760944279,2x4,16,4
Central,"Westervelt Lumber Division (Moundville, AL)",4X4-2 #4 SYP HT,2024-12-03 00:00:00,225.084480659361,4x4,,4
Central,"Mission Forest Products, LP (Corinth, MS)",2X8-8 #4 SYP HT,2024-12-10 00:00:00,230.0,2x8,8,4
Central,"Mission Forest Products, LP (Corinth, MS)",2X8-8 #4 SYP HT,2024-12-10 00:00:00,230.0,2x8,8,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X12-8 #4 SYP HT,2024-12-11 00:00:00,284.39596862793,2x12,8,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X12-12 #4 SYP HT,2024-12-11 00:00:00,289.396701388889,2x12,12,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X12-16 #4 SYP HT,2024-12-11 00:00:00,324.397802734375,2x12,16,4
West,"West Fraser Mills Ltd (Joyce, LA)",2X8-14 #3 SYP KD-HT,2024-12-11 00:00:00,265.0,2x8,14,3
West,"West Fraser Mills Ltd (Joyce, LA)",2X8-16 #3 SYP KD-HT,2024-12-11 00:00:00,265.012940084965,2x8,16,3
Central,"Gloster Forest Products (Gloster, MS)",2X6-16 #4 SYP HT,2024-12-11 00:00:00,230.0,2x6,16,4
Central,"Southeastern Timber Products, LLC (Ackerman, MS)",2X4-8 #4 SYP HT,2024-12-12 00:00:00,239.963930148716,2x4,8,4
Central,"Southeastern Timber Products, LLC (Ackerman, MS)",2X4-10 #4 SYP KD-HT,2024-12-12 00:00:00,240.011539016299,2x4,10,4
Central,"Southeastern Timber Products, LLC (Ackerman, MS)",2X4-12 #4 SYP HT,2024-12-12 00:00:00,240.0,2x4,12,4
Central,"Southeastern Timber Products, LLC (Ackerman, MS)",2X4-14 #4 SYP HT,2024-12-12 00:00:00,239.979397373165,2x4,14,4
Central,"Southeastern Timber Products, LLC (Ackerman, MS)",2X4-16 #4 SYP HT,2024-12-12 00:00:00,239.963930148716,2x4,16,4
West,"Weyerhaeuser NR Company (Dodson, LA)",2X12-12 #4 SYP HT,2024-12-12 00:00:00,285.395833333333,2x12,12,4
Central,"Weyerhaeuser NR Company (Bruce, MS)",2X10-8 #4 SYP HT,2024-12-12 00:00:00,200.002853299637,2x10,8,4
West,"LaSalle Lumber Company, LLC (Olla, LA)",2X4-8 #3 SYP KD-HT,2024-12-12 00:00:00,277.631036703155,2x4,8,3
West,"Canfor Southern Pine (Deridder, LA)",2X4-8 #3 SYP KD-HT,2024-12-12 00:00:00,305.327443998738,2x4,8,3
West,"Canfor Southern Pine (Deridder, LA)",2X4-10 #3 SYP KD-HT,2024-12-12 00:00:00,305.325417568152,2x4,10,3
West,"Canfor Southern Pine (Deridder, LA)",2X4-12 #3 SYP KD-HT,2024-12-12 00:00:00,305.31109775641,2x4,12,3
West,"Canfor Southern Pine (Deridder, LA)",2X4-10 #3 SYP KD-HT,2024-12-12 00:00:00,305.32789471312,2x4,10,3
West,"Georgia-Pacific Corp. (Pineland, TX)",2X8-8 #3 SYP KD-HT,2024-12-13 00:00:00,265.0,2x8,8,3
West,"Georgia-Pacific Corp. (Pineland, TX)",2X8-14 #3 SYP KD-HT,2024-12-13 00:00:00,280.0,2x8,14,3
West,"Georgia-Pacific Corp. (Pineland, TX)",2X8-16 #3 SYP KD-HT,2024-12-13 00:00:00,285.0,2x8,16,3
West,"Weyerhaeuser NR Company (Holden, LA)",2X4-10 #4 SYP KD-HT,2024-12-13 00:00:00,217.781049679487,2x4,10,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X12-16 #4 SYP HT,2024-12-13 00:00:00,324.451958007812,2x12,16,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X12-14 #4 SYP HT,2024-12-13 00:00:00,304.452985491071,2x12,14,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X12-12 #4 SYP HT,2024-12-13 00:00:00,289.452224392361,2x12,12,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X12-8 #4 SYP HT,2024-12-13 00:00:00,284.451123046875,2x12,8,4
Central,"Weyerhaeuser NR Company (Philadelphia, MS)",2X4-10 #4 SYP KD-HT,2024-12-13 00:00:00,244.984696232198,2x4,10,4
Central,"Weyerhaeuser NR Company (Philadelphia, MS)",2X4-12 #4 SYP HT,2024-12-13 00:00:00,245.000018028846,2x4,12,4
Central,"Weyerhaeuser NR Company (Philadelphia, MS)",2X4-14 #4 SYP HT,2024-12-13 00:00:00,244.978109708988,2x4,14,4
Central,"Weyerhaeuser NR Company (Philadelphia, MS)",2X4-16 #4 SYP HT,2024-12-13 00:00:00,245.019175118323,2x4,16,4
Central,"Weyerhaeuser NR Company (Millport, AL)",2X8-8 #4 SYP HT,2024-12-13 00:00:00,225.0,2x8,8,4
Central,"Weyerhaeuser NR Company (Millport, AL)",2X8-16 #4 SYP HT,2024-12-13 00:00:00,255.668518732244,2x8,16,4
Central,"Vicksburg Forest Products, LLC (Vicksburg, MS)",4X4-2 #4 SYP HT,2024-12-13 00:00:00,248.494001116071,4x4,,4
Central,"Vicksburg Forest Products, LLC (Vicksburg, MS)",4X4-2 #4 SYP HT,2024-12-13 00:00:00,248.494001116071,4x4,,4
West,"Hood Industries, Inc. (Bogalusa, LA)",2X4-8 #4 SYP HT,2024-12-16 00:00:00,239.985577789796,2x4,8,4
West,"Hood Industries, Inc. (Bogalusa, LA)",2X4-12 #4 SYP HT,2024-12-16 00:00:00,240.0,2x4,12,4
West,"Coushatta Forest Products, LLC (Coushatta, LA)",2X8-16 #4 SYP HT,2024-12-16 00:00:00,235.000011985085,2x8,16,4
Central,"Mid South Lumber, Inc (Meridian, MS)",2X4-14 #4 SYP HT,2024-12-16 00:00:00,250.0,2x4,14,4
Central,"Mid South Lumber, Inc (Meridian, MS)",2X6-14 #4 SYP HT,2024-12-16 00:00:00,225.0,2x6,14,4
Central,"Westervelt Lumber Division (Moundville, AL)",2X10-8 #4 SYP HT,2024-12-16 00:00:00,185.086419753086,2x10,8,4
Central,"Westervelt Lumber Division (Moundville, AL)",2X10-16 #4 SYP HT,2024-12-16 00:00:00,184.978272002813,2x10,16,4
Central,"Westervelt Lumber Division (Moundville, AL)",2X10-10 #4 SYP HT,2024-12-16 00:00:00,185.0,2x10,10,4
Central,"Westervelt Lumber Division (Moundville, AL)",2X10-12 #4 SYP HT,2024-12-16 00:00:00,185.0,2x10,12,4
Central,"Westervelt Lumber Division (Moundville, AL)",2X10-16 #4 SYP HT,2024-12-16 00:00:00,246.65703125,2x10,16,4
Central,"Westervelt Lumber Division (Moundville, AL)",2X10-14 #4 SYP HT,2024-12-16 00:00:00,185.016519332083,2x10,14,4
West,"Weyerhaeuser NR Company (Dodson, LA)",2X6-10 #3 SYP KD-HT,2024-12-16 00:00:00,260.0,2x6,10,3
West,"Weyerhaeuser NR Company (Dierks, AR)",2X6-8 #3 SYP KD-HT,2024-12-16 00:00:00,260.0,2x6,8,3
West,"Weyerhaeuser NR Company (Dierks, AR)",2X8-10 #4 SYP HT,2024-12-16 00:00:00,230.01,2x8,10,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X8-10 #4 SYP HT,2024-12-16 00:00:00,230.01,2x8,10,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X8-10 #4 SYP HT,2024-12-16 00:00:00,230.01,2x8,10,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X8-14 #3 SYP KD-HT,2024-12-16 00:00:00,254.999990234375,2x8,14,3
West,"Weyerhaeuser NR Company (Dierks, AR)",2X8-16 #3 SYP KD-HT,2024-12-16 00:00:00,255.015564914851,2x8,16,3
West,"Weyerhaeuser NR Company (Dierks, AR)",2X10-10 #4 SYP HT,2024-12-16 00:00:00,205.0,2x10,10,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X8-8 #4 SYP HT,2024-12-16 00:00:00,294.424462890625,2x8,8,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X8-10 #4 SYP HT,2024-12-16 00:00:00,294.4244578125,2x8,10,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X8-12 #4 SYP HT,2024-12-16 00:00:00,294.424438802083,2x8,12,4
West,"Weyerhaeuser NR Company (Dierks, AR)",2X8-16 #4 SYP HT,2024-12-16 00:00:00,294.423974609375,2x8,16,4
Central,"Weyerhaeuser NR Company (Bruce, MS)",2X4-8 #3 SYP KD-HT,2024-12-16 00:00:00,250.0,2x4,8,3
Central,"Weyerhaeuser NR Company (Bruce, MS)",2X8-8 #4 SYP HT,2024-12-16 00:00:00,266.089306640625,2x8,8,4
Central,"Weyerhaeuser NR Company (Bruce, MS)",2X8-16 #4 SYP HT,2024-12-16 00:00:00,286.091279785156,2x8,16,4
