mill,product,total_index_relative_margin,avg_index_relative_margin,n
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 10ft,-184.0,-30.666666666666668,6
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 12ft,-99.999970052083,-8.333330837673584,12
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 14ft,-77.49999051339199,-6.458332542782666,12
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 8ft,-50.0,-4.545454545454546,11
"Anthony Timberlands, Inc (Bearden, AR)",2x4 | #4 | 16ft,-0.029299075951996656,-0.029299075951996656,1
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 6ft,0.0,,3
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | <NA>ft,0.0,,2
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 6ft,0.0,,7
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | <NA>ft,0.0,,5
"Anthony Timberlands, Inc (Bearden, AR)",2x4 | #4 | 12ft,0.0,0.0,1
"Anthony Timberlands, Inc (Bearden, AR)",2x4 | #4 | 14ft,0.0,0.0,1
"Anthony Timberlands, Inc (Bearden, AR)",2x8 | #4 | <NA>ft,0.0,,2
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 10ft,0.0,,2
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 12ft,0.0,,18
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 14ft,0.0,,3
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 16ft,0.0,,6
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 8ft,0.0,,12
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | <NA>ft,0.0,,9
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 8ft,19.971725123639004,6.657241707879668,3
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 20ft,20.0,10.0,2
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 14ft,20.004010324396972,10.002005162198486,2
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 10ft,20.056229096363012,6.68540969878767,3
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 18ft,25.0,8.333333333333334,3
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 12ft,40.0,10.0,4
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 16ft,40.04804312163202,10.012010780408005,4
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 10ft,66.66668033854202,5.555556694878502,12
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 8ft,81.000010986328,11.571430140903999,7
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 16ft,85.000011160714,10.62500139508925,8
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 14ft,86.00001729910798,10.750002162388498,8
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 16ft,86.00004980468702,10.750006225585878,8
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 12ft,91.0,10.11111111111111,9
"Anthony Timberlands, Inc (Malvern, AR)",2x12 | #4 | 10ft,-58.333323697916995,-58.333323697916995,1
"Anthony Timberlands, Inc (Malvern, AR)",2x12 | #4 | 14ft,-53.333333333333,-26.6666666666665,2
"Anthony Timberlands, Inc (Malvern, AR)",2x10 | #4 | 8ft,-36.99444555721402,-9.248611389303505,4
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 8ft,-30.0,-15.0,2
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 16ft,-5.109907181240999,-2.5549535906204994,2
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 10ft,-5.087924970692001,-2.5439624853460003,2
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 14ft,-5.0,-2.5,2
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 12ft,-4.999976128471985,-2.4999880642359926,2
