region,grade,dimension,length,transaction_date,price
Central,1,2x10,8,2024-01-12,355.0
Central,1,2x10,8,2024-01-18,350.0
Central,1,2x10,8,2024-01-25,350.0
Central,1,2x10,8,2024-02-08,325.0
Central,1,2x10,8,2024-02-15,320.0
Central,1,2x10,8,2024-02-22,315.0
Central,1,2x10,8,2024-02-29,315.0
Central,1,2x10,8,2024-03-07,315.0
Central,1,2x10,8,2024-03-14,325.0
Central,1,2x10,8,2024-03-21,325.0
Central,1,2x10,8,2024-03-28,325.0
Central,1,2x10,8,2024-04-04,325.0
Central,1,2x10,8,2024-04-11,325.0
Central,1,2x10,8,2024-04-18,325.0
Central,1,2x10,8,2024-04-25,325.0
Central,1,2x10,8,2024-05-02,340.0
Central,1,2x10,8,2024-05-09,360.0
Central,1,2x10,8,2024-05-16,370.0
Central,1,2x10,8,2024-05-30,405.0
Central,1,2x10,8,2024-06-06,415.0
Central,1,2x10,8,2024-06-13,415.0
Central,1,2x10,8,2024-06-20,410.0
Central,1,2x10,8,2024-06-27,410.0
Central,1,2x10,8,2024-07-04,410.0
Central,1,2x10,8,2024-07-11,410.0
Central,1,2x10,8,2024-07-18,410.0
Central,1,2x10,8,2024-07-25,415.0
Central,1,2x10,8,2024-08-01,420.0
Central,1,2x10,8,2024-08-08,420.0
Central,1,2x10,8,2024-08-15,420.0
Central,1,2x10,8,2024-08-22,420.0
Central,1,2x10,8,2024-08-29,415.0
Central,1,2x10,8,2024-09-05,420.0
Central,1,2x10,8,2024-09-12,420.0
Central,1,2x10,8,2024-09-20,410.0
Central,1,2x10,8,2024-09-27,410.0
Central,1,2x10,8,2024-10-04,395.0
Central,1,2x10,8,2024-10-11,390.0
Central,1,2x10,8,2024-10-18,390.0
Central,1,2x10,8,2024-10-25,390.0
Central,1,2x10,8,2024-11-01,390.0
Central,1,2x10,8,2024-11-08,380.0
Central,1,2x10,8,2024-11-15,370.0
Central,1,2x10,8,2024-11-22,360.0
Central,1,2x10,8,2024-11-27,350.0
Central,1,2x10,8,2024-12-06,345.0
Central,1,2x10,8,2024-12-13,345.0
Central,1,2x10,8,2024-12-20,355.0
Central,1,2x10,8,2025-01-03,370.0
Central,1,2x10,8,2025-01-10,350.0
Central,1,2x10,8,2025-01-17,350.0
Central,1,2x10,8,2025-01-24,350.0
Central,1,2x10,8,2025-01-31,350.0
Central,1,2x10,8,2025-02-07,355.0
Central,1,2x10,8,2025-02-14,360.0
Central,1,2x10,8,2025-02-21,360.0
Central,1,2x10,8,2025-02-28,360.0
Central,1,2x10,8,2025-03-07,360.0
Central,1,2x10,8,2025-03-14,360.0
Central,1,2x10,8,2025-03-21,355.0
Central,1,2x10,8,2025-03-28,360.0
Central,1,2x10,8,2025-04-04,370.0
Central,1,2x10,8,2025-04-11,380.0
Central,1,2x10,8,2025-04-18,405.0
Central,1,2x10,8,2025-04-25,425.0
Central,1,2x10,8,2025-05-02,440.0
Central,1,2x10,8,2025-05-09,440.0
Central,1,2x10,8,2025-05-16,440.0
Central,1,2x10,8,2025-05-23,430.0
Central,1,2x10,8,2025-05-30,415.0
Central,1,2x10,8,2025-06-06,405.0
Central,1,2x10,8,2025-06-13,400.0
Central,1,2x10,8,2025-06-19,385.0
Central,1,2x10,8,2025-06-27,365.0
Central,1,2x10,8,2025-07-03,365.0
Central,1,2x10,8,2025-07-11,365.0
Central,1,2x10,8,2025-07-18,370.0
Central,1,2x10,8,2025-07-25,375.0
Central,1,2x10,8,2025-08-01,375.0
Central,1,2x10,8,2025-08-08,370.0
Central,1,2x10,8,2025-08-15,350.0
Central,1,2x10,8,2025-08-22,340.0
Central,1,2x10,8,2025-08-29,320.0
Central,1,2x10,8,2025-09-05,310.0
Central,1,2x10,8,2025-09-12,315.0
Central,1,2x10,8,2025-09-19,325.0
Central,1,2x10,8,2025-09-26,330.0
Central,1,2x10,8,2025-10-03,335.0
Central,1,2x10,8,2025-10-10,340.0
Central,1,2x10,8,2025-10-17,345.0
Central,1,2x10,10,2024-01-12,510.0
Central,1,2x10,10,2024-01-18,505.0
Central,1,2x10,10,2024-01-25,510.0
Central,1,2x10,10,2024-02-08,520.0
Central,1,2x10,10,2024-02-15,520.0
Central,1,2x10,10,2024-02-22,500.0
Central,1,2x10,10,2024-02-29,500.0
Central,1,2x10,10,2024-03-07,500.0
Central,1,2x10,10,2024-03-14,500.0
Central,1,2x10,10,2024-03-21,485.0
Central,1,2x10,10,2024-03-28,485.0
Central,1,2x10,10,2024-04-04,470.0
Central,1,2x10,10,2024-04-11,455.0
Central,1,2x10,10,2024-04-18,445.0
Central,1,2x10,10,2024-04-25,445.0
Central,1,2x10,10,2024-05-02,450.0
Central,1,2x10,10,2024-05-09,470.0
Central,1,2x10,10,2024-05-16,470.0
Central,1,2x10,10,2024-05-30,505.0
Central,1,2x10,10,2024-06-06,515.0
Central,1,2x10,10,2024-06-13,505.0
Central,1,2x10,10,2024-06-20,500.0
Central,1,2x10,10,2024-06-27,500.0
Central,1,2x10,10,2024-07-04,495.0
Central,1,2x10,10,2024-07-11,495.0
Central,1,2x10,10,2024-07-18,495.0
Central,1,2x10,10,2024-07-25,500.0
Central,1,2x10,10,2024-08-01,505.0
Central,1,2x10,10,2024-08-08,505.0
Central,1,2x10,10,2024-08-15,505.0
Central,1,2x10,10,2024-08-22,500.0
Central,1,2x10,10,2024-08-29,495.0
Central,1,2x10,10,2024-09-05,500.0
Central,1,2x10,10,2024-09-12,500.0
Central,1,2x10,10,2024-09-20,480.0
Central,1,2x10,10,2024-09-27,480.0
Central,1,2x10,10,2024-10-04,470.0
Central,1,2x10,10,2024-10-11,465.0
Central,1,2x10,10,2024-10-18,465.0
Central,1,2x10,10,2024-10-25,465.0
Central,1,2x10,10,2024-11-01,470.0
Central,1,2x10,10,2024-11-08,460.0
Central,1,2x10,10,2024-11-15,450.0
Central,1,2x10,10,2024-11-22,440.0
Central,1,2x10,10,2024-11-27,430.0
Central,1,2x10,10,2024-12-06,425.0
Central,1,2x10,10,2024-12-13,425.0
Central,1,2x10,10,2024-12-20,435.0
Central,1,2x10,10,2025-01-03,450.0
Central,1,2x10,10,2025-01-10,425.0
Central,1,2x10,10,2025-01-17,425.0
Central,1,2x10,10,2025-01-24,425.0
Central,1,2x10,10,2025-01-31,425.0
Central,1,2x10,10,2025-02-07,430.0
Central,1,2x10,10,2025-02-14,440.0
Central,1,2x10,10,2025-02-21,440.0
Central,1,2x10,10,2025-02-28,440.0
Central,1,2x10,10,2025-03-07,445.0
Central,1,2x10,10,2025-03-14,445.0
Central,1,2x10,10,2025-03-21,435.0
Central,1,2x10,10,2025-03-28,440.0
Central,1,2x10,10,2025-04-04,450.0
Central,1,2x10,10,2025-04-11,460.0
Central,1,2x10,10,2025-04-18,480.0
Central,1,2x10,10,2025-04-25,495.0
Central,1,2x10,10,2025-05-02,510.0
Central,1,2x10,10,2025-05-09,510.0
Central,1,2x10,10,2025-05-16,510.0
Central,1,2x10,10,2025-05-23,500.0
Central,1,2x10,10,2025-05-30,485.0
Central,1,2x10,10,2025-06-06,480.0
Central,1,2x10,10,2025-06-13,470.0
Central,1,2x10,10,2025-06-19,455.0
Central,1,2x10,10,2025-06-27,445.0
Central,1,2x10,10,2025-07-03,440.0
Central,1,2x10,10,2025-07-11,440.0
Central,1,2x10,10,2025-07-18,440.0
Central,1,2x10,10,2025-07-25,445.0
Central,1,2x10,10,2025-08-01,445.0
Central,1,2x10,10,2025-08-08,430.0
Central,1,2x10,10,2025-08-15,410.0
Central,1,2x10,10,2025-08-22,395.0
Central,1,2x10,10,2025-08-29,375.0
Central,1,2x10,10,2025-09-05,365.0
Central,1,2x10,10,2025-09-12,350.0
Central,1,2x10,10,2025-09-19,350.0
Central,1,2x10,10,2025-09-26,360.0
Central,1,2x10,10,2025-10-03,365.0
Central,1,2x10,10,2025-10-10,375.0
Central,1,2x10,10,2025-10-17,380.0
Central,1,2x10,12,2024-01-12,450.0
Central,1,2x10,12,2024-01-18,450.0
Central,1,2x10,12,2024-01-25,450.0
Central,1,2x10,12,2024-02-08,450.0
Central,1,2x10,12,2024-02-15,450.0
Central,1,2x10,12,2024-02-22,450.0
