region,grade,dimension,length,transaction_date,price,rolling_avg
Central,1,2x10,8,2024-01-12,355.0,355.0
Central,1,2x10,8,2024-01-18,350.0,352.5
Central,1,2x10,8,2024-01-25,350.0,351.6666666666667
Central,1,2x10,8,2024-02-08,325.0,345.0
Central,1,2x10,8,2024-02-15,320.0,336.25
Central,1,2x10,8,2024-02-22,315.0,327.5
Central,1,2x10,8,2024-02-29,315.0,318.75
Central,1,2x10,8,2024-03-07,315.0,316.25
Central,1,2x10,8,2024-03-14,325.0,317.5
Central,1,2x10,8,2024-03-21,325.0,320.0
Central,1,2x10,8,2024-03-28,325.0,322.5
Central,1,2x10,8,2024-04-04,325.0,325.0
Central,1,2x10,8,2024-04-11,325.0,325.0
Central,1,2x10,8,2024-04-18,325.0,325.0
Central,1,2x10,8,2024-04-25,325.0,325.0
Central,1,2x10,8,2024-05-02,340.0,328.75
Central,1,2x10,8,2024-05-09,360.0,337.5
Central,1,2x10,8,2024-05-16,370.0,348.75
Central,1,2x10,8,2024-05-30,405.0,368.75
Central,1,2x10,8,2024-06-06,415.0,387.5
Central,1,2x10,8,2024-06-13,415.0,401.25
Central,1,2x10,8,2024-06-20,410.0,411.25
Central,1,2x10,8,2024-06-27,410.0,412.5
Central,1,2x10,8,2024-07-04,410.0,411.25
Central,1,2x10,8,2024-07-11,410.0,410.0
Central,1,2x10,8,2024-07-18,410.0,410.0
Central,1,2x10,8,2024-07-25,415.0,411.25
Central,1,2x10,8,2024-08-01,420.0,413.75
Central,1,2x10,8,2024-08-08,420.0,416.25
Central,1,2x10,8,2024-08-15,420.0,418.75
Central,1,2x10,8,2024-08-22,420.0,420.0
Central,1,2x10,8,2024-08-29,415.0,418.75
Central,1,2x10,8,2024-09-05,420.0,418.75
Central,1,2x10,8,2024-09-12,420.0,418.75
Central,1,2x10,8,2024-09-20,410.0,416.25
Central,1,2x10,8,2024-09-27,410.0,415.0
Central,1,2x10,8,2024-10-04,395.0,408.75
Central,1,2x10,8,2024-10-11,390.0,401.25
Central,1,2x10,8,2024-10-18,390.0,396.25
Central,1,2x10,8,2024-10-25,390.0,391.25
Central,1,2x10,8,2024-11-01,390.0,390.0
Central,1,2x10,8,2024-11-08,380.0,387.5
Central,1,2x10,8,2024-11-15,370.0,382.5
Central,1,2x10,8,2024-11-22,360.0,375.0
Central,1,2x10,8,2024-11-27,350.0,365.0
Central,1,2x10,8,2024-12-06,345.0,356.25
Central,1,2x10,8,2024-12-13,345.0,350.0
Central,1,2x10,8,2024-12-20,355.0,348.75
Central,1,2x10,8,2025-01-03,370.0,353.75
Central,1,2x10,8,2025-01-10,350.0,355.0
Central,1,2x10,8,2025-01-17,350.0,356.25
Central,1,2x10,8,2025-01-24,350.0,355.0
Central,1,2x10,8,2025-01-31,350.0,350.0
Central,1,2x10,8,2025-02-07,355.0,351.25
Central,1,2x10,8,2025-02-14,360.0,353.75
Central,1,2x10,8,2025-02-21,360.0,356.25
Central,1,2x10,8,2025-02-28,360.0,358.75
Central,1,2x10,8,2025-03-07,360.0,360.0
Central,1,2x10,8,2025-03-14,360.0,360.0
Central,1,2x10,8,2025-03-21,355.0,358.75
Central,1,2x10,8,2025-03-28,360.0,358.75
Central,1,2x10,8,2025-04-04,370.0,361.25
Central,1,2x10,8,2025-04-11,380.0,366.25
Central,1,2x10,8,2025-04-18,405.0,378.75
Central,1,2x10,8,2025-04-25,425.0,395.0
Central,1,2x10,8,2025-05-02,440.0,412.5
Central,1,2x10,8,2025-05-09,440.0,427.5
Central,1,2x10,8,2025-05-16,440.0,436.25
Central,1,2x10,8,2025-05-23,430.0,437.5
Central,1,2x10,8,2025-05-30,415.0,431.25
Central,1,2x10,8,2025-06-06,405.0,422.5
Central,1,2x10,8,2025-06-13,400.0,412.5
Central,1,2x10,8,2025-06-19,385.0,401.25
Central,1,2x10,8,2025-06-27,365.0,388.75
Central,1,2x10,8,2025-07-03,365.0,378.75
Central,1,2x10,8,2025-07-11,365.0,370.0
Central,1,2x10,8,2025-07-18,370.0,366.25
Central,1,2x10,8,2025-07-25,375.0,368.75
Central,1,2x10,8,2025-08-01,375.0,371.25
Central,1,2x10,8,2025-08-08,370.0,372.5
Central,1,2x10,8,2025-08-15,350.0,367.5
Central,1,2x10,8,2025-08-22,340.0,358.75
Central,1,2x10,8,2025-08-29,320.0,345.0
Central,1,2x10,8,2025-09-05,310.0,330.0
Central,1,2x10,8,2025-09-12,315.0,321.25
Central,1,2x10,8,2025-09-19,325.0,317.5
Central,1,2x10,8,2025-09-26,330.0,320.0
Central,1,2x10,8,2025-10-03,335.0,326.25
Central,1,2x10,8,2025-10-10,340.0,332.5
Central,1,2x10,8,2025-10-17,345.0,337.5
Central,1,2x10,10,2024-01-12,510.0,510.0
Central,1,2x10,10,2024-01-18,505.0,507.5
Central,1,2x10,10,2024-01-25,510.0,508.3333333333333
Central,1,2x10,10,2024-02-08,520.0,511.25
Central,1,2x10,10,2024-02-15,520.0,513.75
Central,1,2x10,10,2024-02-22,500.0,512.5
Central,1,2x10,10,2024-02-29,500.0,510.0
Central,1,2x10,10,2024-03-07,500.0,505.0
Central,1,2x10,10,2024-03-14,500.0,500.0
Central,1,2x10,10,2024-03-21,485.0,496.25
Central,1,2x10,10,2024-03-28,485.0,492.5
Central,1,2x10,10,2024-04-04,470.0,485.0
Central,1,2x10,10,2024-04-11,455.0,473.75
Central,1,2x10,10,2024-04-18,445.0,463.75
Central,1,2x10,10,2024-04-25,445.0,453.75
Central,1,2x10,10,2024-05-02,450.0,448.75
Central,1,2x10,10,2024-05-09,470.0,452.5
Central,1,2x10,10,2024-05-16,470.0,458.75
Central,1,2x10,10,2024-05-30,505.0,473.75
Central,1,2x10,10,2024-06-06,515.0,490.0
Central,1,2x10,10,2024-06-13,505.0,498.75
Central,1,2x10,10,2024-06-20,500.0,506.25
Central,1,2x10,10,2024-06-27,500.0,505.0
Central,1,2x10,10,2024-07-04,495.0,500.0
Central,1,2x10,10,2024-07-11,495.0,497.5
Central,1,2x10,10,2024-07-18,495.0,496.25
Central,1,2x10,10,2024-07-25,500.0,496.25
Central,1,2x10,10,2024-08-01,505.0,498.75
Central,1,2x10,10,2024-08-08,505.0,501.25
Central,1,2x10,10,2024-08-15,505.0,503.75
Central,1,2x10,10,2024-08-22,500.0,503.75
Central,1,2x10,10,2024-08-29,495.0,501.25
Central,1,2x10,10,2024-09-05,500.0,500.0
Central,1,2x10,10,2024-09-12,500.0,498.75
Central,1,2x10,10,2024-09-20,480.0,493.75
Central,1,2x10,10,2024-09-27,480.0,490.0
Central,1,2x10,10,2024-10-04,470.0,482.5
Central,1,2x10,10,2024-10-11,465.0,473.75
Central,1,2x10,10,2024-10-18,465.0,470.0
Central,1,2x10,10,2024-10-25,465.0,466.25
Central,1,2x10,10,2024-11-01,470.0,466.25
Central,1,2x10,10,2024-11-08,460.0,465.0
Central,1,2x10,10,2024-11-15,450.0,461.25
Central,1,2x10,10,2024-11-22,440.0,455.0
Central,1,2x10,10,2024-11-27,430.0,445.0
Central,1,2x10,10,2024-12-06,425.0,436.25
Central,1,2x10,10,2024-12-13,425.0,430.0
Central,1,2x10,10,2024-12-20,435.0,428.75
Central,1,2x10,10,2025-01-03,450.0,433.75
Central,1,2x10,10,2025-01-10,425.0,433.75
Central,1,2x10,10,2025-01-17,425.0,433.75
Central,1,2x10,10,2025-01-24,425.0,431.25
Central,1,2x10,10,2025-01-31,425.0,425.0
Central,1,2x10,10,2025-02-07,430.0,426.25
Central,1,2x10,10,2025-02-14,440.0,430.0
Central,1,2x10,10,2025-02-21,440.0,433.75
Central,1,2x10,10,2025-02-28,440.0,437.5
Central,1,2x10,10,2025-03-07,445.0,441.25
Central,1,2x10,10,2025-03-14,445.0,442.5
Central,1,2x10,10,2025-03-21,435.0,441.25
Central,1,2x10,10,2025-03-28,440.0,441.25
Central,1,2x10,10,2025-04-04,450.0,442.5
Central,1,2x10,10,2025-04-11,460.0,446.25
Central,1,2x10,10,2025-04-18,480.0,457.5
Central,1,2x10,10,2025-04-25,495.0,471.25
Central,1,2x10,10,2025-05-02,510.0,486.25
Central,1,2x10,10,2025-05-09,510.0,498.75
Central,1,2x10,10,2025-05-16,510.0,506.25
Central,1,2x10,10,2025-05-23,500.0,507.5
Central,1,2x10,10,2025-05-30,485.0,501.25
Central,1,2x10,10,2025-06-06,480.0,493.75
Central,1,2x10,10,2025-06-13,470.0,483.75
Central,1,2x10,10,2025-06-19,455.0,472.5
Central,1,2x10,10,2025-06-27,445.0,462.5
Central,1,2x10,10,2025-07-03,440.0,452.5
Central,1,2x10,10,2025-07-11,440.0,445.0
Central,1,2x10,10,2025-07-18,440.0,441.25
Central,1,2x10,10,2025-07-25,445.0,441.25
Central,1,2x10,10,2025-08-01,445.0,442.5
Central,1,2x10,10,2025-08-08,430.0,440.0
Central,1,2x10,10,2025-08-15,410.0,432.5
Central,1,2x10,10,2025-08-22,395.0,420.0
Central,1,2x10,10,2025-08-29,375.0,402.5
Central,1,2x10,10,2025-09-05,365.0,386.25
Central,1,2x10,10,2025-09-12,350.0,371.25
Central,1,2x10,10,2025-09-19,350.0,360.0
Central,1,2x10,10,2025-09-26,360.0,356.25
Central,1,2x10,10,2025-10-03,365.0,356.25
Central,1,2x10,10,2025-10-10,375.0,362.5
Central,1,2x10,10,2025-10-17,380.0,370.0
Central,1,2x10,12,2024-01-12,450.0,450.0
Central,1,2x10,12,2024-01-18,450.0,450.0
Central,1,2x10,12,2024-01-25,450.0,450.0
Central,1,2x10,12,2024-02-08,450.0,450.0
Central,1,2x10,12,2024-02-15,450.0,450.0
Central,1,2x10,12,2024-02-22,450.0,450.0
Central,1,2x10,12,2024-02-29,450.0,450.0
Central,1,2x10,12,2024-03-07,420.0,442.5
Central,1,2x10,12,2024-03-14,395.0,428.75
Central,1,2x10,12,2024-03-21,400.0,416.25
Central,1,2x10,12,2024-03-28,400.0,403.75
Central,1,2x10,12,2024-04-04,390.0,396.25
Central,1,2x10,12,2024-04-11,370.0,390.0
Central,1,2x10,12,2024-04-18,360.0,380.0
Central,1,2x10,12,2024-04-25,360.0,370.0
Central,1,2x10,12,2024-05-02,370.0,365.0
Central,1,2x10,12,2024-05-09,395.0,371.25
Central,1,2x10,12,2024-05-16,410.0,383.75
Central,1,2x10,12,2024-05-30,450.0,406.25
Central,1,2x10,12,2024-06-06,460.0,428.75
Central,1,2x10,12,2024-06-13,445.0,441.25
Central,1,2x10,12,2024-06-20,440.0,448.75
Central,1,2x10,12,2024-06-27,440.0,446.25
Central,1,2x10,12,2024-07-04,440.0,441.25
Central,1,2x10,12,2024-07-11,440.0,440.0
Central,1,2x10,12,2024-07-18,440.0,440.0
Central,1,2x10,12,2024-07-25,445.0,441.25
Central,1,2x10,12,2024-08-01,450.0,443.75
Central,1,2x10,12,2024-08-08,450.0,446.25
Central,1,2x10,12,2024-08-15,450.0,448.75
Central,1,2x10,12,2024-08-22,445.0,448.75
Central,1,2x10,12,2024-08-29,440.0,446.25
Central,1,2x10,12,2024-09-05,445.0,445.0
Central,1,2x10,12,2024-09-12,445.0,443.75
Central,1,2x10,12,2024-09-20,435.0,441.25
Central,1,2x10,12,2024-09-27,435.0,440.0
Central,1,2x10,12,2024-10-04,425.0,435.0
Central,1,2x10,12,2024-10-11,420.0,428.75
Central,1,2x10,12,2024-10-18,420.0,425.0
Central,1,2x10,12,2024-10-25,415.0,420.0
Central,1,2x10,12,2024-11-01,415.0,417.5
Central,1,2x10,12,2024-11-08,410.0,415.0
Central,1,2x10,12,2024-11-15,400.0,410.0
Central,1,2x10,12,2024-11-22,390.0,403.75
Central,1,2x10,12,2024-11-27,380.0,395.0
Central,1,2x10,12,2024-12-06,375.0,386.25
Central,1,2x10,12,2024-12-13,375.0,380.0
Central,1,2x10,12,2024-12-20,385.0,378.75
Central,1,2x10,12,2025-01-03,400.0,383.75
Central,1,2x10,12,2025-01-10,375.0,383.75
Central,1,2x10,12,2025-01-17,380.0,385.0
Central,1,2x10,12,2025-01-24,380.0,383.75
Central,1,2x10,12,2025-01-31,380.0,378.75
Central,1,2x10,12,2025-02-07,385.0,381.25
Central,1,2x10,12,2025-02-14,390.0,383.75
Central,1,2x10,12,2025-02-21,395.0,387.5
Central,1,2x10,12,2025-02-28,400.0,392.5
Central,1,2x10,12,2025-03-07,405.0,397.5
Central,1,2x10,12,2025-03-14,405.0,401.25
Central,1,2x10,12,2025-03-21,405.0,403.75
Central,1,2x10,12,2025-03-28,410.0,406.25
Central,1,2x10,12,2025-04-04,425.0,411.25
Central,1,2x10,12,2025-04-11,440.0,420.0
Central,1,2x10,12,2025-04-18,465.0,435.0
Central,1,2x10,12,2025-04-25,485.0,453.75
Central,1,2x10,12,2025-05-02,495.0,471.25
Central,1,2x10,12,2025-05-09,500.0,486.25
Central,1,2x10,12,2025-05-16,495.0,493.75
Central,1,2x10,12,2025-05-23,490.0,495.0
Central,1,2x10,12,2025-05-30,475.0,490.0
Central,1,2x10,12,2025-06-06,465.0,481.25
Central,1,2x10,12,2025-06-13,455.0,471.25
Central,1,2x10,12,2025-06-19,440.0,458.75
Central,1,2x10,12,2025-06-27,425.0,446.25
Central,1,2x10,12,2025-07-03,420.0,435.0
Central,1,2x10,12,2025-07-11,420.0,426.25
