region,mill,item_description,dimension,length_ft,grade,date,delivered_cost_per_mbf,rl_date,rl_price_per_mbf,days_to_rl_quote,match_flag,basis_abs,item_description_key
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-01-13 00:00:00,549.999970278533,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-01-13 00:00:00,549.999970278533,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-01-15 00:00:00,549.999970278533,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-01-15 00:00:00,549.999970278533,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-02-20 00:00:00,665.0,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-02-27 00:00:00,665.0,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-02-27 00:00:00,675.0,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-03-10 00:00:00,675.0,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-03-10 00:00:00,650.434782608696,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-03-31 00:00:00,699.999968927557,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-8 #2 SYP KD-HT,1x4,8,2,2025-04-03 00:00:00,699.999968927557,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-01-13 00:00:00,550.023872563913,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-01-13 00:00:00,550.023872563913,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-01-13 00:00:00,550.023872563913,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-01-13 00:00:00,550.023872563913,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-01-13 00:00:00,550.023872563913,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-01-13 00:00:00,550.023872563913,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-03-14 00:00:00,620.026910890229,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-03-14 00:00:00,620.026910890229,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-03-14 00:00:00,620.026910890229,,,,no_series,,1x4 #2
Central,"Austell Forest Products Inc (Gordo, AL)",1X4-10 #2 SYP KD-HT,1x4,10,2,2025-03-26 00:00:00,620.026910890229,,,,no_series,,1x4 #2
Central,"Canfor Southern Pine (Bucks, AL)",2X4-12 #2 SYP KD-HT,2x4,12,2,2025-01-06 00:00:00,403.381524725275,2025-01-03,325.0,3.0,ok,78.38152472527503,2x4 #2
Central,"Doman Lumber (Hattiesburg, MS)",6X6-8 #2 SYP Treated,6x6,8,2,2025-01-07 00:00:00,725.000037615741,,,,no_series,,6x6 #2
Central,"Doman Lumber (Hattiesburg, MS)",6X6-10 #2 SYP Treated,6x6,10,2,2025-01-07 00:00:00,780.000045138889,,,,no_series,,6x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X4-8 #2 NGM SYP KW,2x4,8,2,2025-05-22 00:00:00,249.010867932088,2025-05-16,495.0,6.0,ok,-245.989132067912,2x4 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-03-14 00:00:00,371.091264204546,2025-03-14,355.0,0.0,ok,16.091264204546007,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-03-14 00:00:00,371.174252717391,2025-03-14,355.0,0.0,ok,16.174252717391028,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-03-14 00:00:00,330.000016867898,2025-03-14,355.0,0.0,ok,-24.99998313210199,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-03-14 00:00:00,330.0,2025-03-14,355.0,0.0,ok,-25.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-03-14 00:00:00,391.464510830966,2025-03-14,355.0,0.0,ok,36.46451083096599,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-03-19 00:00:00,330.0,2025-03-14,355.0,5.0,ok,-25.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-04-22 00:00:00,306.086956521739,2025-04-18,340.0,4.0,ok,-33.91304347826099,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-04-22 00:00:00,320.0,2025-04-18,340.0,4.0,ok,-20.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-04-22 00:00:00,306.086956521739,2025-04-18,340.0,4.0,ok,-33.91304347826099,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-8 #2 SYP KD-HT,2x6,8,2,2025-08-11 00:00:00,243.913054942255,2025-08-08,300.0,3.0,ok,-56.086945057745,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-10 #2 SYP KD-HT,2x6,10,2,2025-04-21 00:00:00,256.0,2025-04-18,355.0,3.0,ok,-99.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-10 #2 SYP KD-HT,2x6,10,2,2025-04-22 00:00:00,320.0,2025-04-18,355.0,4.0,ok,-35.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-10 #2 SYP KD-HT,2x6,10,2,2025-04-22 00:00:00,320.0,2025-04-18,355.0,4.0,ok,-35.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-10 #2 SYP KD-HT,2x6,10,2,2025-04-22 00:00:00,364.960069444444,2025-04-18,355.0,4.0,ok,9.960069444444002,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-10 #2 SYP KD-HT,2x6,10,2,2025-04-22 00:00:00,320.0,2025-04-18,355.0,4.0,ok,-35.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-12 #2 SYP KD-HT,2x6,12,2,2025-04-21 00:00:00,335.000020073785,2025-04-18,350.0,3.0,ok,-14.999979926215019,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-12 #2 SYP KD-HT,2x6,12,2,2025-05-05 00:00:00,320.0,2025-05-02,350.0,3.0,ok,-30.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-12 #2 SYP KD-HT,2x6,12,2,2025-05-16 00:00:00,320.0,2025-05-16,295.0,0.0,ok,25.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-12 #2 SYP KD-HT,2x6,12,2,2025-05-19 00:00:00,319.99998819987,2025-05-16,295.0,3.0,ok,24.999988199870018,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-14 #2 SYP KD-HT,2x6,14,2,2025-03-14 00:00:00,370.0,2025-03-14,370.0,0.0,ok,0.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-14 #2 SYP KD-HT,2x6,14,2,2025-03-14 00:00:00,370.0,2025-03-14,370.0,0.0,ok,0.0,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-14 #2 SYP KD-HT,2x6,14,2,2025-03-14 00:00:00,470.610969387755,2025-03-14,370.0,0.0,ok,100.610969387755,2x6 #2
Central,"Georgia-Pacfic Corp (Talladega, AL)",2X6-14 #2 SYP KD-HT,2x6,14,2,2025-03-19 00:00:00,370.0,2025-03-14,370.0,5.0,ok,0.0,2x6 #2
