mill,product,count
"Austell Forest Products Inc (Gordo, AL)",1x4 | #2 | 8ft,11
"Austell Forest Products Inc (Gordo, AL)",1x4 | #2 | 10ft,10
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",2x8 | #2 | 12ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 12ft,62
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 10ft,46
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 18ft,18
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 16ft,13
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 12ft,12
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 8ft,10
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 20ft,8
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 14ft,5
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 14ft,5
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #2 | 20ft,4
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #1 | 8ft,4
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 12ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 16ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #1 | 16ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 16ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 10ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 20ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 8ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 14ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #2 | 14ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #2 | 18ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #1 | 12ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 10ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #2 | 18ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #2 | 8ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #1 | 18ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #2 | 8ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 12ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 16ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 18ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #1 | 20ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 14ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 18ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #2 | 20ft,1
"Binderholz Timber, LLC (Lake Charles, LA)",2x4 | #2 | 16ft,2
"Boise Building Solutions/Distribution (Tulsa, OK)",2x4 | #2 | 10ft,1
"Cal-Tex Lumber Co. (Nacogdoches, TX)",2x4 | #2 | 16ft,1
"Cal-Tex Lumber Co. (Pollok, TX)",4x4 | #2 | 8ft,8
"Cal-Tex Lumber Co. (Pollok, TX)",4x4 | #2 | 12ft,2
"Callaway Lumber Co Inc (Bryan, TX)",2x6 | #2 | 8ft,1
"Canfor Southern Pine (Bucks, AL)",2x4 | #2 | 12ft,1
"Canfor Southern Pine (Camden, SC)",2x6 | #2 | 8ft,1
"Canfor Southern Pine (Deridder, LA)",2x4 | #1 | 20ft,2
"Canfor Southern Pine (Deridder, LA)",2x4 | #2 | 20ft,2
"Canfor Southern Pine (Deridder, LA)",2x4 | #1 | 12ft,1
"Canfor Southern Pine (Deridder, LA)",2x4 | #1 | 18ft,1
