Unnamed: 0,Contract Analysis - General Overview,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Use Data Set to Populate 2 Tables based on selecting different options in the filters of each table to obtain a high-level view of the activity,,,,,,,,,,,
,"Anything noted as MBF need to be converted to 1000 board feet, which is the industry standard of measure",,,,,,,,,,,
,,,,,,,,,,,,
,,Data Set,,,,,,,,,,
,,,,Filters:,Manual Input,,,,,,,
,,1,,Time Period,Date Range,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Drop-down 1,Drop-down 2,,,,,,
,,2,,Population,All Mills,Board Footage Purchased,,,,,,
,,,,,Mill (VendorCID),Count of PO's,,,,,,
,,,,,Mill (Location),Avg. Delivered Cost / MBF,,,,,,
,,,,,,Avg. Freight Cost / MBF,,,,,,
,,,,,,Avg. Lumber Cost / MBF,,,,,,
,,,,,,Total Gross Margin $'s,,,,,,
,,,,,,Total Delivered Cost,,,,,,
,,,,,,Avg. Sales Price / MBF,,,,,,
,,,,,,Avg. Days betweel Call Ready and Ship-Date,,,,,,
,,,,,,Random Lengths Avg. Price / MBF,,,,,,
,,,,,,Avg. Miles per Load,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Table 1,,,,,Lengths or (Length Groups),,,,,,
,Filters,Checkbox,,Dimensions,8,12,16.0,10.0,14.0,4.0,6.0,2.0
,Directs,,,2x4,,,,,,,,
,Plants (BLR),,,2x6,,,,,,,,
,Plants (TLR),,,2x8,,,,,,,,
,Contracts,,,2x10,,,,,,,,
,Non-Contracts,,,2x12,,,,,,,,
,"Grade (1,2)",,,3x4,,,,,,,,
,Grade (3),,,4x4,,,,,,,,
,Grade (4),,,5x5,,,,,,,,
,Region East,,,6x6,,,,,,,,
,Region Central,,,Other,,,,,,,,
,Region West,,,,,,,,,,,
,Region All,,,,,,,,,,,
,Dates/Time Period,,,,,,,,,,,
,,,,,,,,,,,,
,Table 2,,,,,Lengths or (Length Groups),,,,,,
,Filters,,,Dimensions,8,12,16.0,10.0,14.0,4.0,6.0,2.0
,Directs,,,2x4,,,,,,,,
,Plants (BLR),,,2x6,,,,,,,,
,Plants (TLR),,,2x8,,,,,,,,
,Contracts,,,2x10,,,,,,,,
,Non-Contracts,,,2x12,,,,,,,,
,"Grade (1,2)",,,3x4,,,,,,,,
,Grade (3),,,4x4,,,,,,,,
,Grade (4),,,5x5,,,,,,,,
,Region East,,,6x6,,,,,,,,
,Region Central,,,Other,,,,,,,,
,Region West,,,,,,,,,,,
,Region All,,,,,,,,,,,
,Dates/Time Period,,,,,,,,,,,
