Region,ItemDescription,TransactionDate,Length8Foot,Length10Foot,Length12Foot,Length14Foot,Length16Foot,Length18Foot,Length20Foot
West,2x4 #1,2024-01-12,435,385,450,450,525,455,495
West,2x6 #1,2024-01-12,320,390,410,380,395,385,415
West,2x8 #1,2024-01-12,400,415,435,395,420,415,485
West,2x10 #1,2024-01-12,355,445,420,345,410,345,730
West,2x12 #1,2024-01-12,590,585,545,515,605,595,825
West,2x4 #2,2024-01-12,395,375,395,415,475,385,455
West,2x6 #2,2024-01-12,305,385,390,375,390,375,385
West,2x8 #2,2024-01-12,320,325,350,375,375,355,385
West,2x10 #2,2024-01-12,275,295,300,310,310,245,285
West,2x12 #2,2024-01-12,410,465,470,445,450,475,685
Central,2x4 #1,2024-01-12,395,400,440,460,515,450,460
Central,2x6 #1,2024-01-12,285,370,385,370,380,360,375
Central,2x8 #1,2024-01-12,365,445,455,365,385,375,415
Central,2x10 #1,2024-01-12,355,510,450,330,385,385,770
Central,2x12 #1,2024-01-12,555,605,550,485,545,565,750
Central,2x4 #2,2024-01-12,380,385,420,435,475,400,430
Central,2x6 #2,2024-01-12,275,365,375,365,370,355,355
Central,2x8 #2,2024-01-12,310,310,325,340,335,290,320
Central,2x10 #2,2024-01-12,230,290,315,310,300,235,265
Central,2x12 #2,2024-01-12,325,425,470,425,440,420,635
East,2x4 #1,2024-01-12,445,455,455,515,520,435,435
East,2x6 #1,2024-01-12,335,390,395,370,395,370,350
East,2x8 #1,2024-01-12,470,470,475,380,400,375,430
East,2x10 #1,2024-01-12,425,505,460,375,390,410,800
East,2x12 #1,2024-01-12,585,620,580,555,570,620,865
East,2x4 #2,2024-01-12,420,440,445,490,495,390,425
East,2x6 #2,2024-01-12,270,375,380,350,380,360,325
East,2x8 #2,2024-01-12,350,360,365,355,370,320,335
East,2x10 #2,2024-01-12,245,345,360,345,320,275,315
East,2x12 #2,2024-01-12,330,435,515,435,415,390,640
West,2x4 #1,2024-01-18,430,380,445,445,520,450,490
West,2x6 #1,2024-01-18,315,385,405,375,390,380,410
West,2x8 #1,2024-01-18,395,410,430,390,415,410,480
West,2x10 #1,2024-01-18,340,430,405,330,395,330,715
West,2x12 #1,2024-01-18,590,585,545,515,605,595,825
West,2x4 #2,2024-01-18,390,370,390,410,470,380,450
West,2x6 #2,2024-01-18,300,380,385,370,385,370,380
West,2x8 #2,2024-01-18,315,320,345,370,370,350,380
West,2x10 #2,2024-01-18,265,285,290,300,300,235,275
West,2x12 #2,2024-01-18,420,475,480,455,460,485,695
East,2x4 #1,2024-01-18,425,435,440,495,505,415,420
East,2x6 #1,2024-01-18,325,380,380,360,380,360,340
East,2x8 #1,2024-01-18,460,460,460,375,390,370,425
East,2x10 #1,2024-01-18,405,485,440,360,370,395,775
East,2x12 #1,2024-01-18,585,620,580,565,570,620,850
East,2x4 #2,2024-01-18,405,425,430,470,480,380,410
East,2x6 #2,2024-01-18,260,365,365,340,370,350,315
East,2x8 #2,2024-01-18,340,350,355,345,360,315,325
East,2x10 #2,2024-01-18,240,340,350,340,315,275,315
East,2x12 #2,2024-01-18,340,445,525,450,430,390,655
Central,2x4 #1,2024-01-18,395,395,430,460,510,450,460
Central,2x6 #1,2024-01-18,290,370,385,370,380,360,375
Central,2x8 #1,2024-01-18,360,440,450,360,380,365,415
Central,2x10 #1,2024-01-18,350,505,450,330,375,385,750
Central,2x12 #1,2024-01-18,555,615,555,495,560,575,750
Central,2x4 #2,2024-01-18,370,375,405,420,460,385,415
Central,2x6 #2,2024-01-18,275,355,365,350,360,345,340
Central,2x8 #2,2024-01-18,300,300,320,330,325,285,310
Central,2x10 #2,2024-01-18,225,280,305,300,290,235,265
Central,2x12 #2,2024-01-18,325,425,480,430,450,430,640
West,2x4 #1,2024-01-25,410,360,425,425,500,430,470
West,2x6 #1,2024-01-25,295,365,380,360,370,360,390
West,2x8 #1,2024-01-25,380,395,415,375,400,395,465
West,2x10 #1,2024-01-25,325,415,390,315,380,315,700
West,2x12 #1,2024-01-25,595,590,550,520,610,600,830
West,2x4 #2,2024-01-25,370,355,375,390,450,360,430
West,2x6 #2,2024-01-25,280,360,370,355,365,350,360
West,2x8 #2,2024-01-25,300,305,330,355,355,335,365
West,2x10 #2,2024-01-25,255,275,280,290,290,225,265
West,2x12 #2,2024-01-25,425,480,485,460,465,490,700
Central,2x4 #1,2024-01-25,380,375,415,445,485,430,445
Central,2x6 #1,2024-01-25,295,360,375,360,370,355,370
Central,2x8 #1,2024-01-25,360,440,450,360,375,365,415
Central,2x10 #1,2024-01-25,350,510,450,330,355,385,730
Central,2x12 #1,2024-01-25,565,615,560,500,560,575,730
Central,2x4 #2,2024-01-25,360,355,385,400,435,370,400
Central,2x6 #2,2024-01-25,265,345,350,335,340,335,325
Central,2x8 #2,2024-01-25,285,290,315,320,315,275,300
Central,2x10 #2,2024-01-25,225,275,300,285,280,230,255
Central,2x12 #2,2024-01-25,325,430,490,440,455,440,650
East,2x4 #1,2024-01-25,405,415,420,465,470,390,400
East,2x6 #1,2024-01-25,310,365,360,345,360,345,325
East,2x8 #1,2024-01-25,445,450,450,360,375,360,415
East,2x10 #1,2024-01-25,395,470,425,345,355,380,750
East,2x12 #1,2024-01-25,585,610,580,555,570,620,840
East,2x4 #2,2024-01-25,385,400,410,435,450,360,390
East,2x6 #2,2024-01-25,240,345,345,325,350,335,295
East,2x8 #2,2024-01-25,330,335,340,330,345,310,315
East,2x10 #2,2024-01-25,230,330,340,335,305,275,310
East,2x12 #2,2024-01-25,350,450,535,460,445,405,665
West,2x4 #1,2024-02-08,385,335,400,400,475,405,445
West,2x6 #1,2024-02-08,285,355,370,350,360,350,380
West,2x8 #1,2024-02-08,370,385,405,365,390,385,455
West,2x10 #1,2024-02-08,310,400,375,300,365,300,685
West,2x12 #1,2024-02-08,620,615,575,545,635,625,855
West,2x4 #2,2024-02-08,340,325,345,360,415,325,395
West,2x6 #2,2024-02-08,270,350,360,345,355,340,350
West,2x8 #2,2024-02-08,290,295,320,345,345,325,355
West,2x10 #2,2024-02-08,240,260,265,275,275,210,250
West,2x12 #2,2024-02-08,450,505,510,485,490,515,725
Central,2x4 #1,2024-02-08,385,375,410,430,470,415,435
