Unnamed: 0,Unnamed: 1,Prices are per MBF or 1000 board feet,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Grade,ItemDescription,TransactionDate,West,Central,East,SortID
#4,2x10,2024-01-12,150,150,175,4
#4,2x10,2024-01-18,150,150,175,4
#4,2x10,2024-01-25,150,150,175,4
#4,2x10,2024-02-08,150,150,175,4
#4,2x10,2024-02-15,150,150,170,4
#4,2x10,2024-02-22,150,145,170,4
#4,2x10,2024-02-29,155,150,170,4
#4,2x10,2024-03-07,160,155,170,4
#4,2x10,2024-03-14,160,155,170,4
#4,2x10,2024-03-21,165,155,170,4
#4,2x10,2024-03-28,165,155,170,4
#4,2x10,2024-04-04,165,155,170,4
#4,2x10,2024-04-11,165,160,170,4
#4,2x10,2024-04-18,165,160,170,4
#4,2x10,2024-04-25,165,155,170,4
#4,2x10,2024-05-02,165,155,170,4
#4,2x10,2024-05-09,165,160,170,4
#4,2x10,2024-05-16,165,165,170,4
#4,2x10,2024-05-30,165,165,175,4
#4,2x10,2024-06-06,165,165,175,4
#4,2x10,2024-06-13,165,165,175,4
#4,2x10,2024-06-20,165,160,175,4
#4,2x10,2024-06-27,165,160,175,4
#4,2x10,2024-07-04,165,155,175,4
#4,2x10,2024-07-11,165,155,175,4
#4,2x10,2024-07-18,165,150,175,4
#4,2x10,2024-07-25,165,150,175,4
#4,2x10,2024-08-01,165,150,175,4
#4,2x10,2024-08-08,165,150,175,4
#4,2x10,2024-08-15,165,150,175,4
#4,2x10,2024-08-22,165,155,175,4
#4,2x10,2024-08-29,165,155,175,4
#4,2x10,2024-09-05,165,155,175,4
#4,2x10,2024-09-12,165,155,175,4
#4,2x10,2024-09-20,165,155,175,4
#4,2x10,2024-09-27,175,155,175,4
#4,2x10,2024-10-04,180,155,175,4
#4,2x10,2024-10-11,190,160,175,4
#4,2x10,2024-10-18,195,165,185,4
#4,2x10,2024-10-25,200,175,185,4
#4,2x10,2024-11-01,200,175,185,4
#4,2x10,2024-11-08,200,175,185,4
#4,2x10,2024-11-15,200,175,190,4
#4,2x10,2024-11-22,200,175,195,4
#4,2x10,2024-11-27,200,175,195,4
#4,2x10,2024-12-06,200,175,195,4
#4,2x10,2024-12-13,200,175,195,4
#4,2x10,2024-12-20,200,175,195,4
#4,2x10,2025-01-03,200,180,195,4
#4,2x10,2025-01-10,200,185,195,4
#4,2x10,2025-01-17,200,190,200,4
#4,2x10,2025-01-24,200,195,205,4
#4,2x10,2025-01-31,200,200,210,4
#4,2x10,2025-02-07,205,205,215,4
#4,2x10,2025-02-14,210,215,220,4
#4,2x10,2025-02-21,215,220,220,4
#4,2x10,2025-02-28,225,225,230,4
#4,2x10,2025-03-07,235,225,230,4
#4,2x10,2025-03-14,240,230,235,4
#4,2x10,2025-03-21,245,230,235,4
#4,2x10,2025-03-28,250,230,245,4
#4,2x10,2025-04-04,255,235,245,4
#4,2x10,2025-04-11,260,245,245,4
#4,2x10,2025-04-18,275,245,245,4
#4,2x10,2025-04-25,275,245,245,4
#4,2x10,2025-05-02,275,245,245,4
#4,2x10,2025-05-09,275,240,235,4
#4,2x10,2025-05-16,275,230,225,4
#4,2x10,2025-05-23,260,225,225,4
#4,2x10,2025-05-30,240,225,220,4
#4,2x10,2025-06-06,230,220,220,4
#4,2x10,2025-06-13,210,220,210,4
#4,2x10,2025-06-19,200,220,200,4
#4,2x10,2025-06-27,195,220,190,4
#4,2x10,2025-07-03,195,220,190,4
#4,2x10,2025-07-11,195,210,190,4
#4,2x10,2025-07-18,190,205,190,4
#4,2x10,2025-07-25,185,205,190,4
#4,2x10,2025-08-01,185,205,190,4
#4,2x10,2025-08-08,185,205,190,4
#4,2x10,2025-08-15,185,200,190,4
#4,2x10,2025-08-22,185,200,190,4
#4,2x10,2025-08-29,180,195,190,4
#4,2x10,2025-09-05,180,190,190,4
#4,2x10,2025-09-12,175,190,190,4
#4,2x10,2025-09-19,175,190,190,4
#4,2x10,2025-09-26,175,190,190,4
#4,2x10,2025-10-03,175,190,200,4
#4,2x10,2025-10-10,175,190,190,4
#4,2x10,2025-10-17,175,190,190,4
#4,2x12,2024-01-12,170,175,210,5
#4,2x12,2024-01-18,170,175,210,5
#4,2x12,2024-01-25,170,175,210,5
#4,2x12,2024-02-08,170,175,210,5
#4,2x12,2024-02-15,170,180,210,5
#4,2x12,2024-02-22,175,175,210,5
#4,2x12,2024-02-29,180,180,215,5
#4,2x12,2024-03-07,190,180,220,5
#4,2x12,2024-03-14,190,180,220,5
#4,2x12,2024-03-21,195,180,220,5
#4,2x12,2024-03-28,195,180,220,5
#4,2x12,2024-04-04,195,180,220,5
#4,2x12,2024-04-11,195,180,220,5
#4,2x12,2024-04-18,195,180,220,5
#4,2x12,2024-04-25,195,180,220,5
#4,2x12,2024-05-02,195,180,220,5
#4,2x12,2024-05-09,195,180,220,5
#4,2x12,2024-05-16,195,180,220,5
#4,2x12,2024-05-30,195,180,225,5
#4,2x12,2024-06-06,195,185,220,5
#4,2x12,2024-06-13,195,185,220,5
