AljexProNum,LumberCost,FreightOutByLine,ContributionFee,TotalCost,SalePrice,BF,PurchasePrice,poRecordID,Mill,VendorCID,ContractPurchase,poType,ShipVia,LinkToNo,ItemID,ItemDescription,CallReadyDate,PickUpDate,DeliveredDate,Pro_Num,Type_of_Shipment,Actual_Dispatcher,Created_Date,Ship_Date,Delivered_Date,Pickup_City,Pickup_State,Pickup_Zip,Consignee_City,Consignee_State,Consignee_Zip,Carrier_Name,Miles/Class,LOT_Revenue,LOT_Carrier_Expense,LOT_Gross_Profit,LOT_Profit_%,Mill_Ready_Dt
33769.0,4126.13,1055.31,112.64,5294.08,310.0,22528.0,230.0,484107.0,"Gloster Forest Products (Gloster, MS)",377410.0,0.0,Direct PO,Flatbed,193786.0,1104.0,2X6-16 #4 SYP HT,2024-12-11 00:00:00,2025-01-03 00:00:00,2025-01-03,33769,F,STANVAN,2024-12-13,2025-01-03,2025-01-06,GLOSTER,MS,39638.0,KENNARD,TX,75847.0,FBN TRANSPORTATION L,309.0,1055.31,1000.0,55.31,5.2,2025-12-11
33797.0,4240.815,1195.0,110.94,5546.755,310.0,24960.0,245.0,484335.0,"Weyerhaeuser NR Company (Holden, LA)",14307.0,0.0,Direct PO,Flatbed,193821.0,1155.0,2X4-10 #4 SYP KD-HT,2024-12-13 00:00:00,2025-01-06 00:00:00,2025-01-06,33797,F,ALEXMENA,2024-12-13,2025-01-06,2025-01-07,HOLDEN,LA,70744.0,TUSCUMBIA,AL,35674.0,COFFEY TRUCKING LLC,423.0,1195.0,1100.0,95.0,7.9,2025-12-13
33830.0,4324.999,1000.00085,0.0,5700.0,0.0,15000.0,355.0,483640.0,"Martco Limited Partnership - Plywood Div (Chopin, LA)",1051.0,0.0,Plant PO,Flatbed,,1606.0,5X5-8 MR SYP,2024-12-16 00:00:00,2025-01-02 00:00:00,2025-01-06,33830,F,STANVAN,2024-12-16,2025-01-02,2025-01-03,CHOPIN,LA,71447.0,BRYAN,TX,77807.0,ZUNIGA S HOTSHOT LLC,263.0,1000.0,900.0,100.0,10.0,2025-12-16
33832.0,4324.999,1000.00085,0.0,5700.0,0.0,15000.0,355.0,483643.0,"Martco Limited Partnership - Plywood Div (Chopin, LA)",1051.0,0.0,Plant PO,Flatbed,,1606.0,5X5-8 MR SYP,2024-12-16 00:00:00,2025-01-02 00:00:00,2025-01-03,33832,F,PARADE,2024-12-16,2025-01-02,2025-01-03,CHOPIN,LA,71447.0,BRYAN,TX,77807.0,HAMILTON TRANSPORTAT,263.0,1000.0,950.0,50.0,5.0,2025-12-16
33835.0,3668.2071399999995,673.0,117.33,4458.53719,420.0,23465.0,185.012,"484480.0, 484480.0","Westervelt Lumber Division (Moundville, AL)",8801.0,0.0,Direct PO,Flatbed,"193850.0, 193850.0","1008.0, 1004.0","2X10-8 #4 SYP HT, 2X10-16 #4 SYP HT",2024-12-16 00:00:00,2025-01-02 00:00:00,2025-01-02,33835,F,ANDREA,2024-12-16,2025-01-02,2025-01-03,MOUNDVILLE,AL,35474.0,CULLMAN,AL,35058.0,DRP TRUCKING LLC,121.0,673.0,570.0,103.0,15.3,2025-12-16
33918.0,4046.0,1650.0,110.08,5806.08,1077.0,20224.0,260.0,"484634.0, 484634.0, 484634.0","Weyerhaeuser NR Company (Dodson, LA)",14308.0,0.0,Direct PO,Flatbed,"193918.0, 193918.0, 193918.0","1044.0, 1047.0, 1051.0","2X12-14 #3 SYP KD-HT, 2X12-16 #3 SYP KD-HT, 2X12-18 #3 SYP KD-HT",2024-12-17 00:00:00,2025-01-08 00:00:00,2025-01-07,33918,F,ALEXMENA,2024-12-17,2025-01-08,2025-01-09,DODSON,LA,71422.0,TULSA,OK,74145.0,KING OF FREIGHT LLC,449.0,1650.0,1550.0,100.0,6.1,2025-12-17
33956.0,5175.74979,830.01,117.76,6123.51993,638.0,23551.0,255.0,"484298.0, 484298.0","Weyerhaeuser NR Company (Dierks, AR)",14309.0,0.0,Direct PO,Flatbed,"193991.0, 193991.0","1071.0, 1074.0","2X8-14 #3 SYP KD-HT, 2X8-16 #3 SYP KD-HT",2024-12-16 00:00:00,2025-01-06 00:00:00,2025-01-06,33956,F,STANVAN,2024-12-18,2025-01-06,2025-01-07,DIERKS,AR,71833.0,BONHAM,TX,75418.0,JOSE NETRO,162.0,830.01,750.0,80.01,9.6,2025-12-16
33980.0,5386.96,670.0,116.48,6173.44,320.0,24960.0,260.0,484069.0,"Bienville Lumber Company, LLC (Taylor, LA)",377137.0,0.0,Direct PO,Flatbed,193968.0,1158.0,2X4-12 #3 SYP KD-HT,2024-12-17 06:00:00,,2025-01-02,33980,F,STANVAN,2024-12-18,2025-01-02,2025-01-02,TAYLOR,LA,71080.0,HENDERSON,TX,75652.0,ROYAL TRUCKING LLC,117.0,670.0,625.0,45.0,6.7,2025-12-17
33999.0,4451.25,1650.0,122.03,6223.28,325.0,24405.0,250.0,483977.0,"Weyerhaeuser NR Company (Bruce, MS)",14312.0,0.0,Direct PO,Flatbed,194012.0,1143.0,2X4-8 #3 SYP KD-HT,2024-12-16 00:00:00,2025-01-02 00:00:00,2025-01-02,33999,F,ANDREA,2024-12-18,2025-01-02,2025-01-03,BRUCE,MS,38915.0,PORTER,OK,74454.0,RIGHTLANE TRANSPORT,482.0,1650.0,1600.0,50.0,3.0,2025-12-16
34033.0,4454.517,1300.73,115.09,5870.337,9.34,23017.0,250.00933333333333,"484457.0, 484457.0, 484457.0","Vicksburg Forest Products, LLC (Vicksburg, MS)",15426.0,0.0,Direct PO,Flatbed,"194064.0, 194064.0, 194064.0","1167.0, 1155.0, 1160.0","2X4-16 #4 SYP HT, 2X4-10 #4 SYP KD-HT, 2X4-14 #4 SYP HT",2024-12-16 00:00:00,2025-01-02 00:00:00,2025-01-02,34033,F,ANDREA,2024-12-19,2025-01-02,2025-01-03,VICKSBURG,MS,39183.0,MOSCOW,TN,38057.0,MATT HAMANN TRUCKING,286.0,1300.73,1200.0,100.73,7.7,2025-12-16
