Mill,AvgDaysOnReadyList,PctShippedToCustomers,PctShippedToPlants,AvgGrossMargin_Customers,AvgGrossMarginPct_Customers,TotalLoads
"Alabama Pallets (Birmingham, AL)",5.666666666666667,100.0,0.0,-305.74333333333334,-5.047320156695156,3
"Anthony Timberlands, Inc (Bearden, AR)",10.6,73.33333333333333,26.66666666666667,429.4192272727271,5.495923851149732,30
"Anthony Timberlands, Inc (Malvern, AR)",10.533333333333333,53.333333333333336,46.666666666666664,1033.57046575,11.189731701207636,15
"Atlee E Hershberger (Summersville, MO)",5.823529411764706,100.0,0.0,1876.3041129411765,21.602340974611,17
"Austell Forest Products Inc (Gordo, AL)",6.888888888888889,100.0,0.0,865.5113109344717,6.787008557838323,27
"B & B Log & Lumber Co, Inc. (Atoka, OK)",3.3846153846153846,100.0,0.0,2298.267691666258,26.106372570658262,13
"Ball Lumber Company Inc. (Millers Tavern, VA)",3.6818181818181817,100.0,0.0,1182.6509090909087,8.997986362411442,66
"Battle Lumber Company, Inc (Wadley, GA)",3.1666666666666665,100.0,0.0,1399.6054474181917,14.294499966761189,6
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",5.5,87.5,12.5,494.3971428571429,5.205112100049531,8
"Bienville Lumber Company, LLC (Taylor, LA)",8.618686868686869,96.46464646464646,3.5353535353535364,809.1784761503988,8.411651421515998,396
"Biewer Lumber (Winona, MS)",5.0,100.0,0.0,402.38227333333293,4.035825277709237,3
"Binderholz Timber, LLC (New Orleans, LA)",5.0,100.0,0.0,674.7179999999995,6.788781218820324,5
"Bluelinx Corporation (Fort Worth, TX)",2.0,100.0,0.0,922.5568262204448,30.040958973849456,6
"Boise Cascade, LLC (Chapman, AL)",4.142857142857143,100.0,0.0,1163.392857142857,21.073891728889944,7
"Boise Cascade, LLC (Dallas, TX)",5.25,100.0,0.0,2229.61,35.37069273536967,4
"Boise Cascade, LLC (Florien, LA)",5.769230769230769,85.8974358974359,14.102564102564102,986.3489552238807,21.699008012285994,78
"Boise Cascade, LLC (Havana, FL)",1.0,100.0,0.0,1832.72,30.0005449738466,3
"Boise Cascade, LLC (Oakdale, LA)",7.777777777777778,77.77777777777779,22.222222222222214,1208.5428571428572,26.105086374249943,9
"Boise Cascade, LLC (Thorsby, AL)",6.052631578947368,84.21052631578947,15.789473684210535,1267.90875,23.364224668590985,19
"Brand Wood Products, LLC (Steelville, MO)",1.0,100.0,0.0,1089.932688,12.178563153660498,1
"Brazos Forest Products, LP (Houston, TX)",2.0,100.0,0.0,375280.5,62.42661374908465,2
"Burkholder's Wood Products, LLC (Verona, MO)",7.111111111111111,100.0,0.0,1896.266666666666,20.990677975640242,9
"CLW, Inc. (Splendora, TX)",4.333333333333333,100.0,0.0,466.9628166666668,8.80721096990654,3
"CMFP Eldon LLC (Eldon, MO)",7.142857142857143,100.0,0.0,1625.3542857142854,17.822173326228764,7
"Cal-Tex Lumber Co. (Nacogdoches, TX)",8.857142857142858,28.57142857142857,71.42857142857143,-526.98120284728,0.08487930461813242,7
"Cal-Tex Lumber Co. (Pollok, TX)",8.157894736842104,84.21052631578947,15.789473684210535,1639.6527624116331,14.836149648073654,19
"Canfor Southern Pine (Bucks, AL)",6.8,100.0,0.0,975.5376610894178,12.469549130197892,10
"Canfor Southern Pine (Camden, SC)",2.0,100.0,0.0,-1175.2800000000013,-14.099930896805915,1
"Canfor Southern Pine (Deridder, LA)",6.909090909090909,90.9090909090909,9.090909090909093,434.06193994239976,4.742341959918857,11
"Canfor Southern Pine (El Dorado, AR)",8.538461538461538,92.3076923076923,7.692307692307693,1012.5097268350114,13.121685147422143,13
"Canfor Southern Pine (Fulton, AL)",8.5,75.0,25.0,618.7348333333331,7.59313002533721,8
"Canfor Southern Pine (Graham, NC)",1.0,100.0,0.0,-1050.5600000000002,-12.603654791154796,1
"Canfor Southern Pine (Strong, AR)",5.0,75.0,25.0,491.6933333333336,4.679160573543144,4
"Carthage Forest Products, LLC (Carthage, AR)",11.384615384615385,100.0,0.0,561.9238461538463,9.99528668707018,13
"Carthage Hardwoods, LLC (Carthage, TX)",4.0,100.0,0.0,211.53399999999988,5.256581847604002,1
"Central Missouri Forest Products, LLC (New Bloomfield, MO)",4.0,100.0,0.0,1451.1999999999996,17.89378156565656,1
"Charles Ingram (Effingham, SC)",4.181818181818182,90.9090909090909,9.090909090909093,2450.7975057999997,18.423156805766283,11
"Chickasaw Lumber Company, LLC (Navasota, TX)",3.8,80.0,20.0,2403.471936180743,16.403883441820994,5
"Church & Church Lumber Company, LLC (Wilkesboro, NC)",0.3333333333333333,100.0,0.0,1924.1161570302513,20.64895633715408,3
"Clays Pallet Mill Inc (Pocahontas, AR)",6.0,100.0,0.0,2049.1199999999994,16.692082111436946,5
"Corrigan OSB LLC (Corrigan, TX)",5.0,100.0,0.0,6009.120000000001,74.6066746126341,1
"Coushatta Forest Products, LLC (Coushatta, LA)",8.666666666666666,62.5,37.5,1170.495807038211,13.014397255199604,24
"D B Hostetler Sawmill (Warm Springs, AR)",12.4,100.0,0.0,1685.8944480000005,20.04717299361338,5
"Davie Ashley Sawmill, LLC (Elora, TN)",0.0,100.0,0.0,581.399516250151,24.37582164685953,2
"Dewey Hostetler (Salem, KY)",6.0,100.0,0.0,1624.0249760000002,18.125776254481686,4
"Dixie Plywood And Lumber Co (Garland, TX)",2.0,100.0,0.0,4894.099999999999,91.86140360756048,1
"Doman Lumber (Caddo Mills, TX)",3.6666666666666665,100.0,0.0,943.0848649999998,8.059682489124828,3
"Doman Lumber (Gilmer, TX)",2.5,100.0,0.0,2422.0217856990703,31.157891115846468,4
"Doman Lumber (Hattiesburg, MS)",0.0,100.0,0.0,1924.9193685889647,12.801583344561443,2
"Doman Lumber (Magnolia, AR)",4.888888888888889,100.0,0.0,1337.07799715667,18.738711690727115,9
"Doman Lumber (Plumerville, AR)",4.0,100.0,0.0,2293.600000000001,38.05920615956459,1
"Doman Lumber (Rison, AR)",8.5,100.0,0.0,751.8050000000006,4.676694644961573,2
"Doman Lumber (Russellville, AR)",4.6875,100.0,0.0,1071.0678174122868,10.396066244703212,17
"Doman Lumber - Winnfield (Winnfield, LA)",2.0,100.0,0.0,894.0000000000003,19.415367241454202,1
"Dupont Pine Products, LLC (Alapaha, GA)",4.657894736842105,100.0,0.0,719.04432712372,6.671208494894617,38
