Ship Date,Pickup State,Consignee State,Type of Shipment,Miles/Class,Mill,CustomerName,Species,Grade,PurchaseUOM,SaleUOM,ShipVia,poType,ContractPurchase,BF,ConvBF,LumberCost,EstFreight,ReceivingFee,ContributionFee,MBF,TotalCost,SalePrice
2025-09-28,VA,FL,F,198.0,MillA,CustX,SYP,#1,MBF,MBF,Truck,Direct,0,3434.0,,343.5781784027265,95.02751562873142,10,0,3.434,1540.51,1721.74
2025-09-18,VA,NC,F,646.0,MillA,CustW,SYP,#2,MBF,MBF,Rail,Direct,0,18769.0,,287.8854606548376,50.673342656043474,5,0,18.769,6448.26,7793.34
2025-09-04,VA,PA,F,665.0,MillC,CustZ,SPF,#1,MBF,MBF,Rail,Direct,0,11427.0,,316.7810416791691,82.97996916287677,0,12,11.427,4705.19,5410.04
2025-10-02,NC,TX,F,795.0,MillB,CustZ,DF,#2,MBF,MBF,Intermodal,Direct,0,18189.0,,278.1273264446691,102.54161370115366,10,8,18.189,7251.39,9935.51
2025-08-28,AL,NC,F,291.0,MillC,CustW,SPF,Stud,MBF,MBF,Rail,Direct,1,4028.0,,467.88350797498333,30.0,5,0,4.028,2025.61,2521.34
2025-09-10,VA,FL,F,270.0,MillA,CustY,SYP,#2,MBF,MBF,Intermodal,Direct,0,9003.0,,352.1158131183037,96.30080577139805,0,12,9.003,4145.13,5343.85
2025-09-28,TN,PA,LTL,730.0,MillB,CustZ,SYP,#2,MBF,MBF,Rail,Direct,1,12026.0,,308.01646952044484,60.1212872316246,0,12,12.026,4571.54,5974.37
2025-09-08,NC,GA,F,674.0,MillC,CustY,SPF,#2,MBF,MBF,Truck,Direct,0,12235.0,,362.83879464405334,97.11796005779478,5,0,12.235,5688.75,6436.65
2025-09-12,NC,TX,F,663.0,MillB,CustX,DF,#2,MBF,MBF,Intermodal,Direct,0,9750.0,,343.2603170185502,57.102225303724495,5,0,9.75,3952.28,4725.11
2025-08-31,AL,NC,V,687.0,MillC,CustY,SYP,#2,MBF,MBF,Intermodal,Direct,1,15114.0,,336.74182402800665,30.0,5,0,15.114,5618.51,7276.23
2025-08-31,NC,FL,F,430.0,MillB,CustX,SYP,#1,MBF,MBF,Truck,Direct,0,6662.0,,386.8500020026055,31.173726863505124,10,0,6.662,2851.49,3240.13
2025-09-13,NC,GA,LTL,658.0,MillA,CustY,SYP,#2,MBF,MBF,Intermodal,Direct,1,11288.0,,395.4504626028383,81.44254839984146,5,0,11.288,5439.61,6753.42
2025-09-25,VA,GA,LTL,673.0,MillA,CustZ,SPF,#2,MBF,MBF,Intermodal,Direct,0,12601.0,,318.16993114336833,87.79167505164446,0,8,12.601,5216.33,6322.57
2025-09-29,AL,OH,F,421.0,MillB,CustZ,SYP,Stud,MBF,MBF,Rail,Direct,1,14572.0,,315.4509055613192,52.87050124686775,0,0,14.572,5367.18,6587.66
2025-09-13,VA,PA,F,1066.0,MillC,CustX,DF,#2,MBF,MBF,Intermodal,Direct,0,15558.0,,333.4968981709014,99.15777376332122,0,0,15.558,6731.24,8541.08
2025-08-23,VA,NC,F,718.0,MillA,CustW,SYP,Stud,MBF,MBF,Truck,Direct,1,6377.0,,250.0,30.154398131931202,5,0,6.377,1818.43,2509.24
2025-09-11,AL,FL,F,302.0,MillA,CustX,SYP,#1,MBF,MBF,Rail,Direct,0,4329.0,,259.08853626808684,78.0176060405805,0,0,4.329,1459.33,1823.71
2025-08-22,GA,OH,F,764.0,MillA,CustX,DF,#2,MBF,MBF,Rail,Direct,1,18388.0,,432.01245604667145,43.6695140071263,5,12,18.388,9059.44,11445.83
2025-09-13,VA,PA,V,356.0,MillB,CustY,SYP,Stud,MBF,MBF,Truck,Direct,0,13662.0,,448.69806281007703,60.444916765935226,5,0,13.662,7024.22,7879.03
2025-10-03,TN,OH,F,797.0,MillB,CustY,SPF,Stud,MBF,MBF,Truck,Direct,0,8258.0,,335.0578376266173,81.42196013949243,10,0,8.258,3521.87,4458.97
2025-09-19,TN,TX,F,890.0,MillC,CustX,SPF,#1,MBF,MBF,Rail,Direct,1,19756.0,,384.593417783346,54.18759904148143,0,8,19.756,8826.61,11054.95
2025-09-27,NC,PA,F,395.0,MillC,CustZ,SPF,#2,MBF,MBF,Intermodal,Direct,0,12578.0,,368.67500927261216,68.46333367310524,10,0,12.578,5624.11,6702.21
2025-08-22,TN,PA,LTL,841.0,MillC,CustY,DF,#2,MBF,MBF,Rail,Direct,0,17896.0,,500.0,110.18878427643321,0,0,17.896,10919.94,12795.15
2025-09-10,NC,NC,F,703.0,MillB,CustW,SYP,Stud,MBF,MBF,Truck,Direct,0,12338.0,,417.1744946860746,62.69324391430554,10,0,12.338,6043.99,6753.01
2025-09-22,GA,PA,F,806.0,MillB,CustY,SPF,#2,MBF,MBF,Rail,Direct,0,22304.0,,342.324944511154,105.07076336195425,0,0,22.304,9978.71,12715.88
