iter	MAE
0	0.5868072995
1	0.5801714782
2	0.5736574278
3	0.5672588435
4	0.5610205548
5	0.5548998798
6	0.5488978957
7	0.5429577986
8	0.5371830547
9	0.5315375433
10	0.526004939
11	0.5205368494
12	0.5152123265
13	0.5099449228
14	0.5048418235
15	0.4997778044
16	0.4948257254
17	0.4899653025
18	0.4852655167
19	0.4806496195
20	0.4761290839
21	0.4715653556
22	0.4671877447
23	0.4628484268
24	0.4586263578
25	0.4545401461
26	0.4505356582
27	0.4466112662
28	0.4427420548
29	0.4389728567
30	0.4352108688
31	0.4315911349
32	0.4280432505
33	0.4245066523
34	0.4210569232
35	0.4177092388
36	0.4144478536
37	0.4112089852
38	0.4080734326
39	0.4080617628
40	0.4049658224
41	0.4019703446
42	0.4019703499
43	0.3990382583
44	0.3961673964
45	0.3931476291
46	0.3903938353
47	0.3876113323
48	0.3849538859
49	0.3823621633
50	0.3798222696
51	0.3773331767
52	0.3748603176
53	0.3724693406
54	0.3701149885
55	0.3678191319
56	0.3655691928
57	0.3633642453
58	0.3612033966
59	0.3590856372
60	0.357004075
61	0.3549703088
62	0.3529772106
63	0.3509795015
64	0.3490653305
65	0.3471890657
66	0.3453505192
67	0.3435489166
68	0.341778093
69	0.340047576
70	0.3383316789
71	0.3366699371
72	0.3350414311
73	0.3334455016
74	0.3317779276
75	0.3302451903
76	0.3287431073
77	0.3272708189
78	0.3258206221
79	0.3243586466
80	0.3229245442
81	0.3215667865
82	0.3202361782
83	0.3189321309
84	0.3176541056
85	0.3164017467
86	0.3151744395
87	0.3139716792
88	0.3127929691
89	0.3116085082
90	0.3104713974
91	0.3093620116
92	0.3082748066
93	0.3071205697
94	0.3060694105
95	0.3050429044
96	0.3040352241
97	0.3030524796
98	0.302089387
99	0.3011349542
100	0.3001462497
101	0.2992346969
102	0.2983462702
103	0.2974658671
104	0.2966127215
105	0.2957538121
106	0.2949064935
107	0.2940889568
108	0.2932835629
109	0.2924506947
110	0.2916730921
111	0.2909077668
112	0.2901814845
113	0.2894354853
114	0.2887383551
115	0.2879831418
116	0.2873136638
117	0.2866575744
118	0.2860142615
119	0.2853741969
120	0.2847460305
121	0.2841382372
122	0.2834027154
123	0.2827499899
124	0.2821804267
125	0.2816219697
126	0.281074958
127	0.2805388806
128	0.2800041852
129	0.279489343
130	0.2789693407
131	0.2784683301
132	0.2779836378
133	0.2774937457
134	0.2770283649
135	0.2765405286
136	0.2760470534
137	0.2754505293
138	0.2750086121
139	0.2745879509
140	0.2741685866
141	0.2737419429
142	0.2733365762
143	0.2729485722
144	0.2725538492
145	0.2721812102
146	0.2718155996
147	0.2714577098
148	0.2711069844
149	0.2707610621
150	0.2703790746
151	0.2700395174
152	0.2696898599
153	0.269372833
154	0.2690621399
155	0.2687411904
156	0.2684122263
157	0.2680741501
158	0.2677795651
159	0.2674916963
160	0.267198279
161	0.266909835
162	0.2666455153
163	0.2663857574
164	0.2661280285
165	0.2658792531
166	0.2656354465
167	0.2653965227
168	0.265158694
169	0.2649055657
170	0.2646806166
171	0.2644511512
172	0.2642351787
173	0.2640145286
174	0.2638071019
175	0.2636012864
176	0.263402078
177	0.2632061896
178	0.2629919158
179	0.2628044236
180	0.262619441
181	0.2624242592
182	0.2622323673
183	0.262056689
184	0.26188387
185	0.2617031795
186	0.2614639178
187	0.2612857897
188	0.2611294665
189	0.2609762766
190	0.2608261438
191	0.2606764168
192	0.2605069259
193	0.2603656216
194	0.2602267867
195	0.26009012
196	0.2599568508
197	0.2598257842
198	0.2596793187
199	0.2594839898
200	0.2593537444
201	0.2592277301
202	0.2591099176
203	0.258928958
204	0.2588087026
205	0.2586978185
206	0.258589155
207	0.2584826684
208	0.2583672736
209	0.2582648777
210	0.2581050115
211	0.2580067917
212	0.2579048164
213	0.2578091468
214	0.2577011868
215	0.2576036624
216	0.2575148444
217	0.2574278374
218	0.2572814847
219	0.2571978856
220	0.2570923802
221	0.2570120539
222	0.2569334004
223	0.25685632
224	0.2567755736
225	0.2566667327
226	0.2565928024
227	0.2565217123
228	0.2564410377
229	0.2563326614
230	0.2562661893
231	0.2562010468
232	0.256137207
233	0.2560483861
234	0.2559870707
235	0.2559269838
236	0.2558671548
237	0.2558094488
238	0.2557368812
239	0.2556417087
240	0.2555745168
241	0.2555126572
242	0.2554583879
243	0.255407263
244	0.2552833599
245	0.2551431043
246	0.2550921329
247	0.2550449767
248	0.2549987636
249	0.2549533628
250	0.2549059344
251	0.2548252509
252	0.2547825203
253	0.2547407469
254	0.254699816
255	0.2546594396
256	0.2546193609
257	0.2545775367
258	0.2545357447
259	0.2544984642
260	0.2544529803
261	0.2544143727
262	0.2543778834
263	0.254333631
264	0.254300046
265	0.2542367068
266	0.2541883089
267	0.2541452649
268	0.254059243
269	0.2540281281
270	0.2539985006
271	0.2539689379
272	0.2539404855
273	0.2539125965
274	0.2538731333
275	0.2537845223
276	0.2537376103
277	0.2536111101
278	0.253504248
279	0.2534795424
280	0.2534553309
281	0.2534075476
282	0.2533711533
283	0.2533467909
284	0.2533244594
285	0.2533025783
286	0.2532811306
287	0.2532431276
288	0.2532126197
289	0.2531924398
290	0.2531709264
291	0.253151539
292	0.2530435717
293	0.2530183706
294	0.2529706054
295	0.2529318537
296	0.2529140714
297	0.2528838743
298	0.2528668006
299	0.2528260573
300	0.2528072374
301	0.2527898021
302	0.2527743114
303	0.2527345732
304	0.2527197025
305	0.2525484515
306	0.2525342263
307	0.2525155021
308	0.2525018397
309	0.2524883868
310	0.2524726532
311	0.2524592436
312	0.2524406218
